avg_byte,var_byte,protocol,pack_exc,byte_exc,pack_push,percent_push,src_port,dst_port,std_byte,class
330,0,UDP,4,1320,0,0,29676,28082,0,NOT
48,0,TCP,6,288,0,0,2129,25,0,BOT
108,324,UDP,4,432,0,0,29676,47729,18,NOT
199.5,11990.25,UDP,2,399,0,0,47729,29676,109.5,NOT
131,0,UDP,1,131,0,0,48733,32234,0,NOT
167,8643,UDP,8,1336,0,0,32234,48733,92.967736339,NOT
108,324,UDP,8,864,0,0,32234,32589,18,NOT
319,0,UDP,2,638,0,0,32589,32234,0,NOT
131,0,UDP,1,131,0,0,58875,31037,0,NOT
326,0,UDP,2,652,0,0,31037,58875,0,NOT
131,0,UDP,1,131,0,0,44537,32234,0,NOT
326,0,UDP,2,652,0,0,32234,44537,0,NOT
131,0,UDP,1,131,0,0,33746,31037,0,NOT
326,0,UDP,2,652,0,0,31037,33746,0,NOT
131,0,UDP,1,131,0,0,25182,31037,0,NOT
326,0,UDP,2,652,0,0,31037,25182,0,NOT
126,0,UDP,4,504,0,0,29676,7888,0,NOT
319,0,UDP,1,319,0,0,7888,29676,0,NOT
126,0,UDP,2,252,0,0,29676,19366,0,NOT
300,0,UDP,1,300,0,0,19366,29676,0,NOT
90,0,UDP,4,360,0,0,29676,32752,0,NOT
100,0,UDP,2,200,0,0,32752,29676,0,NOT
183.333333333,9362.88888889,UDP,3,550,0,0,24625,32234,96.7620219347,NOT
180.666666667,10776.8888889,UDP,6,1084,0,0,32234,24625,103.811795519,NOT
108,324,UDP,4,432,0,0,29676,36462,18,NOT
199.5,11990.25,UDP,2,399,0,0,36462,29676,109.5,NOT
126,0,UDP,2,252,0,0,29676,20030,0,NOT
319,0,UDP,1,319,0,0,20030,29676,0,NOT
77,0,DNS,2,154,1,14.2857142857,1077,553,0,BOT
93,0,DNS,1,93,0,0,53,2077,0,BOT
131,0,UDP,1,131,0,0,16366,32234,0,NOT
326,0,UDP,2,652,0,0,32234,16366,0,NOT
129,0,UDP,1,129,0,0,29963,31037,0,NOT
131,0,UDP,1,131,0,0,27062,32234,0,NOT
326,0,UDP,2,652,0,0,32234,27062,0,NOT
131,0,UDP,1,131,0,0,59487,32234,0,NOT
326,0,UDP,2,652,0,0,32234,59487,0,NOT
131,0,UDP,1,131,0,0,35691,31037,0,NOT
326,0,UDP,2,652,0,0,31037,35691,0,NOT
115.5,240.25,UDP,2,231,0,0,35691,32234,15.5,NOT
168.666666667,12376.8888889,UDP,6,1012,0,0,32234,35691,111.251466907,NOT
54.2857142857,1014.20408163,TCP,7,380,1,14.2857142857,3008,80,31.8465709556,NOT
810.857142857,464483.265306,TCP,7,5676,1,14.2857142857,80,3008,681.53009127,NOT
54.2857142857,1014.20408163,TCP,7,380,1,14.2857142857,3274,80,31.8465709556,NOT
810.857142857,464483.265306,TCP,7,5676,1,14.2857142857,80,3274,681.53009127,NOT
54.2857142857,1014.20408163,TCP,7,380,1,14.2857142857,3280,80,31.8465709556,NOT
810.857142857,464483.265306,TCP,7,5676,1,14.2857142857,80,3280,681.53009127,NOT
131,0,UDP,1,131,0,0,4044,32234,0,NOT
326,0,UDP,2,652,0,0,32234,4044,0,NOT
134,0,UDP,2,268,0,0,25562,31037,0,NOT
133,64,UDP,4,532,0,0,31037,25562,8,NOT
131,0,UDP,1,131,0,0,24663,32234,0,NOT
326,0,UDP,2,652,0,0,32234,24663,0,NOT
131,0,UDP,1,131,0,0,41294,29676,0,NOT
326,0,UDP,2,652,0,0,29676,41294,0,NOT
131,0,UDP,1,131,0,0,38907,31037,0,NOT
326,0,UDP,2,652,0,0,31037,38907,0,NOT
57,1,DNS,4,228,0,0,2079,53,1,BOT
220.5,8930.25,DNS,2,441,0,0,53,2079,94.5,BOT
58,0,DNS,2,116,0,0,2079,53,0,BOT
152,0,DNS,1,152,0,0,53,2079,0,BOT
58,0,DNS,2,116,0,0,2077,53,0,BOT
214,0,DNS,1,214,0,0,53,2077,0,BOT
129,0,UDP,1,129,0,0,45718,29676,0,NOT
126,0,UDP,8,1008,0,0,32234,37981,0,NOT
131,0,UDP,1,131,0,0,20197,31037,0,NOT
326,0,UDP,2,652,0,0,31037,20197,0,NOT
131,0,UDP,1,131,0,0,44760,29676,0,NOT
326,0,UDP,2,652,0,0,29676,44760,0,NOT
131,0,UDP,1,131,0,0,11356,31037,0,NOT
326,0,UDP,2,652,0,0,31037,11356,0,NOT
131,0,UDP,1,131,0,0,46616,29676,0,NOT
326,0,UDP,2,652,0,0,29676,46616,0,NOT
131,0,UDP,1,131,0,0,51941,32234,0,NOT
326,0,UDP,2,652,0,0,32234,51941,0,NOT
131,0,UDP,1,131,0,0,64212,31037,0,NOT
326,0,UDP,2,652,0,0,31037,64212,0,NOT
131,0,UDP,1,131,0,0,61870,29676,0,NOT
326,0,UDP,2,652,0,0,29676,61870,0,NOT
131,0,UDP,1,131,0,0,10260,32234,0,NOT
326,0,UDP,2,652,0,0,32234,10260,0,NOT
131,0,UDP,1,131,0,0,28074,31037,0,NOT
326,0,UDP,2,652,0,0,31037,28074,0,NOT
126,0,UDP,2,252,0,0,32234,15948,0,NOT
309,0,UDP,1,309,0,0,15948,32234,0,NOT
131,0,UDP,1,131,0,0,44072,31037,0,NOT
326,0,UDP,2,652,0,0,31037,44072,0,NOT
131,0,UDP,1,131,0,0,58545,32234,0,NOT
326,0,UDP,2,652,0,0,32234,58545,0,NOT
60,0,DNS,2,120,0,0,2077,53,0,BOT
76,0,DNS,1,76,0,0,53,2077,0,BOT
93,0,UDP,1,93,0,0,22933,32234,0,NOT
129,0,UDP,1,129,0,0,28672,32234,0,NOT
131,0,UDP,1,131,0,0,58267,31037,0,NOT
326,0,UDP,2,652,0,0,31037,58267,0,NOT
131,0,UDP,1,131,0,0,40989,32234,0,NOT
326,0,UDP,2,652,0,0,32234,40989,0,NOT
131,0,UDP,1,131,0,0,35691,31037,0,NOT
326,0,UDP,2,652,0,0,31037,35691,0,NOT
149.5,240.25,UDP,2,299,0,0,47363,32234,15.5,NOT
326,0,UDP,2,652,0,0,32234,47363,0,NOT
129,0,UDP,2,258,0,0,38997,32234,0,NOT
131,0,UDP,1,131,0,0,61071,31037,0,NOT
326,0,UDP,2,652,0,0,31037,61071,0,NOT
108,324,UDP,8,864,0,0,32234,61991,18,NOT
158,576,UDP,4,632,0,0,55689,29676,24,NOT
255,35212,UDP,8,2040,0,0,29676,55689,187.648607775,NOT
158,576,UDP,2,316,0,0,58173,29676,24,NOT
297,48400,UDP,4,1188,0,0,29676,58173,220,NOT
158,576,UDP,4,632,0,0,16004,29676,24,NOT
297,48400,UDP,8,2376,0,0,29676,16004,220,NOT
158,576,UDP,4,632,0,0,59110,29676,24,NOT
247,33900,UDP,8,1976,0,0,29676,59110,184.119526395,NOT
134,0,UDP,1,134,0,0,46755,29676,0,NOT
245,0,UDP,2,490,0,0,29676,46755,0,NOT
90,0,UDP,2,180,0,0,32234,43093,0,NOT
100,0,UDP,1,100,0,0,43093,32234,0,NOT
158,576,UDP,4,632,0,0,28076,29676,24,NOT
281,42128,UDP,8,2248,0,0,29676,28076,205.251065771,NOT
131,0,UDP,1,131,0,0,10027,32234,0,NOT
326,0,UDP,2,652,0,0,32234,10027,0,NOT
158,576,UDP,4,632,0,0,48134,29676,24,NOT
147,9132,UDP,8,1176,0,0,29676,48134,95.5614985232,NOT
158,576,UDP,4,632,0,0,41447,29676,24,NOT
147,9132,UDP,8,1176,0,0,29676,41447,95.5614985232,NOT
90,0,UDP,4,360,0,0,31037,19623,0,NOT
100,0,UDP,1,100,0,0,19623,31037,0,NOT
158,576,UDP,2,316,0,0,31055,29676,24,NOT
173,9216,UDP,4,692,0,0,29676,31055,96,NOT
131,0,UDP,1,131,0,0,26461,32234,0,NOT
326,0,UDP,2,652,0,0,32234,26461,0,NOT
188.5,8635.25,UDP,6,1131,0,0,35691,29676,92.9260458644,NOT
220,11380,UDP,12,2640,0,0,29676,35691,106.677082825,NOT
131,0,UDP,1,131,0,0,32614,29676,0,NOT
326,0,UDP,2,652,0,0,29676,32614,0,NOT
131,0,UDP,1,131,0,0,51010,32234,0,NOT
326,0,UDP,2,652,0,0,32234,51010,0,NOT
131,0,UDP,1,131,0,0,33239,32234,0,NOT
326,0,UDP,2,652,0,0,32234,33239,0,NOT
131,0,UDP,1,131,0,0,48851,32234,0,NOT
326,0,UDP,2,652,0,0,32234,48851,0,NOT
55,0,DNS,4,220,0,0,2077,53,0,BOT
170,0,DNS,1,170,0,0,53,2077,0,BOT
131,0,UDP,1,131,0,0,40414,31037,0,NOT
326,0,UDP,2,652,0,0,31037,40414,0,NOT
131,0,UDP,1,131,0,0,35691,29676,0,NOT
326,0,UDP,2,652,0,0,29676,35691,0,NOT
131,0,UDP,1,131,0,0,21052,29676,0,NOT
326,0,UDP,2,652,0,0,29676,21052,0,NOT
48,0,TCP,6,288,0,0,2746,25,0,BOT
131,0,UDP,1,131,0,0,8040,32234,0,NOT
326,0,UDP,2,652,0,0,32234,8040,0,NOT
48,0,TCP,6,288,0,0,1066,3128,0,BOT
48,0,TCP,6,288,0,0,2218,6667,0,BOT
40,0,TCP,3,120,0,0,6667,2218,0,BOT
48,0,TCP,4,192,0,0,1938,6667,0,BOT
48,0,TCP,4,192,0,0,1569,6667,0,BOT
48,0,TCP,6,288,0,0,5765,7200,0,BOT
48,0,TCP,2,96,0,0,1932,6667,0,BOT
48,0,TCP,4,192,0,0,2409,6667,0,BOT
129,0,UDP,1,129,0,0,65255,32234,0,NOT
48,0,TCP,4,192,0,0,2178,6667,0,BOT
126,0,UDP,2,252,0,0,29676,51413,0,NOT
309,0,UDP,1,309,0,0,51413,29676,0,NOT
126,0,UDP,4,504,0,0,29676,59343,0,NOT
131,0,UDP,1,131,0,0,55184,32234,0,NOT
326,0,UDP,2,652,0,0,32234,55184,0,NOT
131,0,UDP,1,131,0,0,1558,29676,0,NOT
326,0,UDP,2,652,0,0,29676,1558,0,NOT
131,0,UDP,1,131,0,0,21728,32234,0,NOT
326,0,UDP,2,652,0,0,32234,21728,0,NOT
131,0,UDP,1,131,0,0,2279,29676,0,NOT
326,0,UDP,2,652,0,0,29676,2279,0,NOT
131,0,UDP,2,262,0,0,19946,29676,0,NOT
326,0,UDP,4,1304,0,0,29676,19946,0,NOT
131,0,UDP,1,131,0,0,46232,29676,0,NOT
326,0,UDP,2,652,0,0,29676,46232,0,NOT
62,0,DNS,2,124,0,0,2077,53,0,BOT
199,0,DNS,1,199,0,0,53,2077,0,BOT
53,0,DNS,2,106,0,0,2077,53,0,BOT
149,0,DNS,1,149,0,0,53,2077,0,BOT
62,0,DNS,6,372,0,0,2077,53,0,BOT
199,0,DNS,3,597,0,0,53,2077,0,BOT
131,0,UDP,1,131,0,0,28894,31037,0,NOT
326,0,UDP,2,652,0,0,31037,28894,0,NOT
131,0,UDP,2,262,0,0,11482,29676,0,NOT
326,0,UDP,4,1304,0,0,29676,11482,0,NOT
131,0,UDP,1,131,0,0,32797,31037,0,NOT
326,0,UDP,2,652,0,0,31037,32797,0,NOT
131,0,UDP,1,131,0,0,49801,29676,0,NOT
326,0,UDP,2,652,0,0,29676,49801,0,NOT
131,0,UDP,1,131,0,0,41001,32234,0,NOT
326,0,UDP,2,652,0,0,32234,41001,0,NOT
126,0,UDP,1,126,0,0,8290,32234,0,NOT
330,0,UDP,2,660,0,0,32234,8290,0,NOT
131,0,UDP,1,131,0,0,36265,29676,0,NOT
326,0,UDP,2,652,0,0,29676,36265,0,NOT
131,0,UDP,1,131,0,0,25705,31037,0,NOT
326,0,UDP,2,652,0,0,31037,25705,0,NOT
129,0,UDP,1,129,0,0,46779,32234,0,NOT
126,0,UDP,4,504,0,0,29676,43227,0,NOT
319,0,UDP,1,319,0,0,43227,29676,0,NOT
57.8,2.16,DNS,10,578,0,0,2077,53,1.46969384567,BOT
165.8,2.16,DNS,5,829,0,0,53,2077,1.46969384567,BOT
65,0,DNS,2,130,0,0,2077,53,0,BOT
152,0,DNS,1,152,0,0,53,2077,0,BOT
59,0,DNS,2,118,0,0,2077,53,0,BOT
243,0,DNS,1,243,0,0,53,2077,0,BOT
56,0,DNS,6,336,0,0,2079,53,0,BOT
115.333333333,1760.22222222,DNS,3,346,0,0,53,2079,41.9550023504,BOT
55,0,DNS,2,110,0,0,2077,53,0,BOT
171,0,DNS,1,171,0,0,53,2077,0,BOT
126,0,UDP,2,252,0,0,29676,20058,0,NOT
319,0,UDP,1,319,0,0,20058,29676,0,NOT
59,0,DNS,2,118,0,0,2079,53,0,BOT
112,0,DNS,1,112,0,0,53,2079,0,BOT
62,0,DNS,6,372,0,0,2077,53,0,BOT
90.3333333333,304.222222222,DNS,3,271,0,0,53,2077,17.4419672693,BOT
131,0,UDP,1,131,0,0,44504,32234,0,NOT
326,0,UDP,2,652,0,0,32234,44504,0,NOT
131,0,UDP,1,131,0,0,31270,29676,0,NOT
326,0,UDP,2,652,0,0,29676,31270,0,NOT
131,0,UDP,1,131,0,0,20298,31037,0,NOT
326,0,UDP,2,652,0,0,31037,20298,0,NOT
131,0,UDP,1,131,0,0,37053,31037,0,NOT
326,0,UDP,2,652,0,0,31037,37053,0,NOT
126,0,UDP,4,504,0,0,32234,6881,0,NOT
114,288,UDP,6,684,0,0,31037,6881,16.9705627485,NOT
319,0,UDP,1,319,0,0,6881,31037,0,NOT
90,0,UDP,8,720,0,0,32234,35691,0,NOT
90,0,UDP,2,180,0,0,35691,32234,0,NOT
131,0,UDP,1,131,0,0,50289,32234,0,NOT
326,0,UDP,2,652,0,0,32234,50289,0,NOT
126,0,UDP,4,504,0,0,29676,56282,0,NOT
131,0,UDP,1,131,0,0,45602,31037,0,NOT
64,0,DNS,2,128,0,0,2079,53,0,BOT
153,0,DNS,1,153,0,0,53,2079,0,BOT
131,0,UDP,1,131,0,0,12065,32234,0,NOT
326,0,UDP,2,652,0,0,32234,12065,0,NOT
57,0,DNS,4,228,0,0,2077,53,0,BOT
92,0,DNS,1,92,0,0,53,2077,0,BOT
57,0,DNS,2,114,0,0,2077,53,0,BOT
92,0,DNS,1,92,0,0,53,2077,0,BOT
131,0,UDP,1,131,0,0,15823,32234,0,NOT
326,0,UDP,2,652,0,0,32234,15823,0,NOT
131,0,UDP,1,131,0,0,41462,29676,0,NOT
326,0,UDP,2,652,0,0,29676,41462,0,NOT
90,0,UDP,4,360,0,0,32234,29631,0,NOT
100,0,UDP,2,200,0,0,29631,32234,0,NOT
131,0,UDP,1,131,0,0,30816,32234,0,NOT
326,0,UDP,2,652,0,0,32234,30816,0,NOT
131,0,UDP,1,131,0,0,53925,32234,0,NOT
326,0,UDP,2,652,0,0,32234,53925,0,NOT
62,0,DNS,26,1612,0,0,2079,53,0,BOT
529,0,DNS,13,6877,0,0,53,2079,0,BOT
63,0,DNS,42,2646,0,0,2077,53,0,BOT
530,0,DNS,21,11130,0,0,53,2077,0,BOT
62,0,DNS,36,2232,0,0,2079,53,0,BOT
529,0,DNS,18,9522,0,0,53,2079,0,BOT
63,0,DNS,20,1260,0,0,2077,53,0,BOT
530,0,DNS,10,5300,0,0,53,2077,0,BOT
131,0,UDP,1,131,0,0,52112,32234,0,NOT
326,0,UDP,2,652,0,0,32234,52112,0,NOT
60.2,13.36,DNS,10,602,0,0,2077,53,3.6551333765,BOT
143,343.6,DNS,5,715,0,0,53,2077,18.5364505772,BOT
48,0,TCP,6,288,0,0,4642,25,0,BOT
48,0,TCP,6,288,0,0,4643,25,0,BOT
48,0,TCP,12,576,0,0,3515,25,0,BOT
48,0,TCP,12,576,0,0,3540,25,0,BOT
57.6666666667,5.88888888889,DNS,12,692,0,0,2079,53,2.42670329643,BOT
138.333333333,219.222222222,DNS,6,830,0,0,53,2079,14.8061548763,BOT
57,0,DNS,2,114,0,0,2079,53,0,BOT
236,0,DNS,1,236,0,0,53,2079,0,BOT
57,0,DNS,2,114,0,0,2079,53,0,BOT
63,0,DNS,2,126,0,0,2079,53,0,BOT
284,0,DNS,1,284,0,0,53,2079,0,BOT
46,36,TCP,2,92,0,0,16336,3389,6,BOT
52,0,TCP,2,104,0,0,3389,16336,0,BOT
83.675,13376.969375,TCP,40,3347,17,42.5,23529,3389,115.658849099,BOT
113.203703704,19635.7918381,TCP,108,12226,100,92.5925925926,3389,23529,140.127769689,BOT
82.5238095238,12853.8208617,TCP,42,3466,17,40.4761904762,23592,3389,113.374692333,BOT
130.948275862,35662.3938763,TCP,116,15190,108,93.1034482759,3389,23592,188.844893699,BOT
106.863636364,22800.572314,TCP,22,2351,9,40.9090909091,23843,3389,150.998583815,BOT
152.510638298,22536.3775464,TCP,94,14336,90,95.7446808511,3389,23843,150.121209516,BOT
85.9473684211,14060.5761773,TCP,38,3266,17,44.7368421053,24265,3389,118.57730043,BOT
115.666666667,17815.4555556,TCP,120,13880,112,93.3333333333,3389,24265,133.474550217,BOT
91.8055555556,14724.1566358,TPKT,36,3305,17,47.2222222222,24413,3389,121.343135924,BOT
142.55,46267.9141667,TCP,120,17106,114,95,3389,24413,215.099777235,BOT
87.6842105263,14055.2160665,TCP,38,3332,18,47.3684210526,24650,3389,118.554696518,BOT
118.931034483,17810.2366231,TCP,116,13796,106,91.3793103448,3389,24650,133.454998494,BOT
90.8888888889,14715.9320988,TCP,36,3272,17,47.2222222222,24972,3389,121.309241605,BOT
141.803571429,49628.5149872,TCP,112,15882,104,92.8571428571,3389,24972,222.774583351,BOT
85.4285714286,15152.0734694,TCP,35,2990,13,37.1428571429,25063,3389,123.093758856,BOT
116.964285714,16965.0344388,TCP,112,13100,108,96.4285714286,3389,25063,130.249892279,BOT
90.2368421053,14458.7070637,TCP,38,3429,18,47.3684210526,25545,3389,120.244363958,BOT
119.616666667,19688.7030556,TCP,120,14354,112,93.3333333333,3389,25545,140.316439007,BOT
84.1707317073,13169.4586556,TCP,41,3451,17,41.4634146341,25692,3389,114.758261818,BOT
103.188679245,16707.0964756,TCP,106,10938,98,92.4528301887,3389,25692,129.255934005,BOT
86.275,13372.799375,TCP,40,3451,19,47.5,25829,3389,115.640820539,BOT
121.369230769,30264.1713609,TCP,130,15778,118,90.7692307692,3389,25829,173.966006337,BOT
85.725,13531.749375,TCP,40,3429,17,42.5,26231,3389,116.326047706,BOT
100.543859649,15652.5638658,TCP,114,11462,106,92.9824561404,3389,26231,125.110206881,BOT
82.3953488372,12583.9134667,TCP,43,3543,19,44.1860465116,26527,3389,112.178043604,BOT
107.245614035,16487.658972,TCP,114,12226,102,89.4736842105,3389,26527,128.404279415,BOT
83.358974359,13853.6147272,TCP,39,3251,14,35.8974358974,26641,3389,117.701379462,BOT
109.462962963,16280.989369,TCP,108,11822,104,96.2962962963,3389,26641,127.59698025,BOT
129.55,29099.5475,TCP,20,2591,8,40,27075,3389,170.585894786,BOT
154.083333333,28232.8541667,TCP,72,11094,66,91.6666666667,3389,27075,168.02634962,BOT
97.88,20160.3456,TCP,25,2447,9,36,27438,3389,141.987131811,BOT
149.128205128,44551.2912558,TCP,78,11632,74,94.8717948718,3389,27438,211.071768022,BOT
44,16,TCP,2,88,0,0,27815,3389,4,BOT
48,0,TCP,2,96,0,0,3389,27815,0,BOT
44,16,TCP,2,88,0,0,27898,3389,4,BOT
48,0,TCP,2,96,0,0,3389,27898,0,BOT
102.625,16962.734375,TCP,8,821,5,62.5,28067,3389,130.241062553,BOT
84.9,9063.69,TCP,20,1698,14,70,3389,28067,95.2034138043,BOT
44,16,TCP,2,88,0,0,28324,3389,4,BOT
48,0,TCP,2,96,0,0,3389,28324,0,BOT
44,16,TCP,2,88,0,0,28451,3389,4,BOT
48,0,TCP,2,96,0,0,3389,28451,0,BOT
44,16,TCP,2,88,0,0,28843,3389,4,BOT
48,0,TCP,2,96,0,0,3389,28843,0,BOT
44,16,TCP,2,88,0,0,28876,3389,4,BOT
48,0,TCP,2,96,0,0,3389,28876,0,BOT
109.909090909,22138.3553719,TCP,22,2418,10,45.4545454545,28941,3389,148.789634625,BOT
232.902439024,113228.185604,TCP,82,19098,74,90.243902439,3389,28941,336.493960724,BOT
89.75,14322.1319444,TCP,36,3231,17,47.2222222222,29487,3389,119.675109962,BOT
181.212121212,81992.1065197,TCP,132,23920,124,93.9393939394,3389,29487,286.342638319,BOT
155.5,35730.25,TCP,12,1866,6,50,29875,3389,189.024469315,BOT
157.235294118,22480.650519,TCP,34,5346,26,76.4705882353,3389,29875,149.935487857,BOT
85.5263157895,13789.1966759,TCP,38,3250,17,44.7368421053,10109,3389,117.427410241,BOT
110.450980392,18914.6789696,TCP,102,11266,94,92.1568627451,3389,10109,137.530647383,BOT
86.3846153846,13469.7751479,TCP,39,3369,17,43.5897435897,10229,3389,116.059360449,BOT
102.78,17719.8916,TCP,100,10278,90,90,3389,10229,133.116083176,BOT
85.5128205128,13522.3523997,TCP,39,3335,17,43.5897435897,10500,3389,116.285650016,BOT
105.020833333,18336.7287326,TCP,96,10082,88,91.6666666667,3389,10500,135.41317784,BOT
84.4,13177.29,TCP,40,3376,17,42.5,10577,3389,114.792377796,BOT
104.895833333,18282.968316,TCP,96,10070,88,91.6666666667,3389,10577,135.214527015,BOT
86.0256410256,13460.2301118,TCP,39,3355,17,43.5897435897,10625,3389,116.018231808,BOT
104.040816327,18013.5085381,TCP,98,10196,90,91.8367346939,3389,10625,134.214412557,BOT
84.8717948718,13521.9579224,TCP,39,3310,17,43.5897435897,10695,3389,116.283953848,BOT
103.93877551,17928.7513536,TCP,98,10186,90,91.8367346939,3389,10695,133.898287344,BOT
84.5714285714,12691.9115646,TCP,42,3552,17,40.4761904762,10799,3389,112.658384351,BOT
107.759259259,17987.4420439,TCP,108,11638,98,90.7407407407,3389,10799,134.117269745,BOT
82.0487804878,12815.4610351,TCP,41,3364,17,41.4634146341,11161,3389,113.205393136,BOT
104.75,17022.5721154,TCP,104,10894,96,92.3076923077,3389,11161,130.470579501,BOT
86.3333333333,13398.7863248,TCP,39,3367,17,43.5897435897,11256,3389,115.753126631,BOT
104.9375,18277.0169271,TCP,96,10074,88,91.6666666667,3389,11256,135.192518014,BOT
84.6,13078.19,TCP,40,3384,17,42.5,11301,3389,114.359914306,BOT
108.32,18556.0176,TCP,100,10832,92,92,3389,11301,136.220474232,BOT
83.2,13166.61,TCP,40,3328,17,42.5,11374,3389,114.745849598,BOT
104.857142857,17957.8367347,TCP,98,10276,90,91.8367346939,3389,11374,134.006853312,BOT
87.4210526316,13733.0858726,TCP,38,3322,17,44.7368421053,11735,3389,117.188249721,BOT
105.020833333,18336.7287326,TCP,96,10082,88,91.6666666667,3389,11735,135.41317784,BOT
87.4736842105,13737.4598338,TCP,38,3324,18,47.3684210526,11776,3389,117.20691035,BOT
108.352941176,18178.7773933,TCP,102,11052,92,90.1960784314,3389,11776,134.828696476,BOT
85.5526315789,13707.3524931,TCP,38,3251,17,44.7368421053,11821,3389,117.078403188,BOT
104.68,17588.0576,TCP,100,10468,92,92,3389,11821,132.619974363,BOT
83.6744186047,12293.5219037,TCP,43,3598,18,41.8604651163,11866,3389,110.876155704,BOT
101.423076923,17120.8594675,TCP,104,10548,90,86.5384615385,3389,11866,130.846702165,BOT
84.875,13116.309375,TCP,40,3395,17,42.5,11952,3389,114.526457096,BOT
104.68,17597.0176,TCP,100,10468,92,92,3389,11952,132.653750795,BOT
