,protocol,pack_exc,pack_push,percent_push,src_port,dst_port,std_byte,class
45,3,178,1,0.0,7600,7600,123.82083647600001,1
46,3,1,1,0.0,57106,29676,0.0,1
47,3,2,1,0.0,29676,57106,0.0,1
48,3,2,1,0.0,7600,7600,35.5,1
49,3,4,1,0.0,7600,7600,35.0,1
50,3,33,1,0.0,7600,7600,11.7886188129,1
51,3,216,1,0.0,7600,7600,158.076942075,1
52,4,3,1,0.0,17096,80,0.0,1
53,4,3,1,0.0,17364,80,0.0,1
54,4,4,1,0.0,1390,6667,0.0,2
55,4,2,1,0.0,1634,6667,0.0,2
56,4,6,1,0.0,4902,6667,0.0,2
57,4,6,1,0.0,4041,6667,0.0,2
58,3,1,1,0.0,10470,32234,0.0,1
59,3,2,1,0.0,32234,10470,0.0,1
60,3,1,1,0.0,46908,31037,0.0,1
61,3,2,1,0.0,31037,46908,0.0,1
62,3,1,1,0.0,16763,32234,0.0,1
63,3,2,1,0.0,32234,16763,0.0,1
64,3,1,1,0.0,10155,31037,0.0,1
65,3,2,1,0.0,28082,29676,0.0,1
66,3,4,1,0.0,29676,28082,0.0,1
67,4,6,1,0.0,2129,25,0.0,2
68,3,4,1,0.0,29676,47729,18.0,1
69,3,2,1,0.0,47729,29676,109.5,1
70,3,1,1,0.0,48733,32234,0.0,1
71,3,8,1,0.0,32234,48733,92.967736339,1
72,3,8,1,0.0,32234,32589,18.0,1
73,3,2,1,0.0,32589,32234,0.0,1
74,3,1,1,0.0,58875,31037,0.0,1
75,3,2,1,0.0,31037,58875,0.0,1
76,3,1,1,0.0,44537,32234,0.0,1
77,3,2,1,0.0,32234,44537,0.0,1
78,3,1,1,0.0,33746,31037,0.0,1
79,3,2,1,0.0,31037,33746,0.0,1
80,3,1,1,0.0,25182,31037,0.0,1
81,3,2,1,0.0,31037,25182,0.0,1
82,3,4,1,0.0,29676,7888,0.0,1
83,3,1,1,0.0,7888,29676,0.0,1
84,3,2,1,0.0,29676,19366,0.0,1
85,3,1,1,0.0,19366,29676,0.0,1
86,3,4,1,0.0,29676,32752,0.0,1
87,3,2,1,0.0,32752,29676,0.0,1
88,3,3,1,0.0,24625,32234,96.76202193469999,1
89,3,6,1,0.0,32234,24625,103.811795519,1
90,3,4,1,0.0,29676,36462,18.0,1
91,3,2,1,0.0,36462,29676,109.5,1
92,3,2,1,0.0,29676,20030,0.0,1
93,3,1,1,0.0,20030,29676,0.0,1
94,5,2,1,0.0,2077,53,0.0,2
95,5,1,1,0.0,53,2077,0.0,2
96,3,1,1,0.0,16366,32234,0.0,1
97,3,2,1,0.0,32234,16366,0.0,1
98,3,1,1,0.0,29963,31037,0.0,1
99,3,1,1,0.0,27062,32234,0.0,1
100,3,2,1,0.0,32234,27062,0.0,1
101,3,1,1,0.0,59487,32234,0.0,1
102,3,2,1,0.0,32234,59487,0.0,1
103,3,1,1,0.0,35691,31037,0.0,1
104,3,2,1,0.0,31037,35691,0.0,1
105,3,2,1,0.0,35691,32234,15.5,1
106,3,6,1,0.0,32234,35691,111.25146690700001,1
107,4,7,1,14.2857142857,3008,80,31.8465709556,1
108,4,7,1,14.2857142857,80,3008,681.53009127,1
109,4,7,1,14.2857142857,3274,80,31.8465709556,1
110,4,7,1,14.2857142857,80,3274,681.53009127,1
111,4,7,1,14.2857142857,3280,80,31.8465709556,1
112,4,7,1,14.2857142857,80,3280,681.53009127,1
113,3,1,1,0.0,4044,32234,0.0,1
114,3,2,1,0.0,32234,4044,0.0,1
115,3,2,1,0.0,25562,31037,0.0,1
116,3,4,1,0.0,31037,25562,8.0,1
117,3,1,1,0.0,24663,32234,0.0,1
118,3,2,1,0.0,32234,24663,0.0,1
119,3,1,1,0.0,41294,29676,0.0,1
120,3,2,1,0.0,29676,41294,0.0,1
121,3,1,1,0.0,38907,31037,0.0,1
122,3,2,1,0.0,31037,38907,0.0,1
123,5,4,1,0.0,2079,53,1.0,2
124,5,2,1,0.0,53,2079,94.5,2
125,5,2,1,0.0,2079,53,0.0,2
126,5,1,1,0.0,53,2079,0.0,2
127,5,2,1,0.0,2077,53,0.0,2
128,5,1,1,0.0,53,2077,0.0,2
129,3,1,1,0.0,45718,29676,0.0,1
130,3,8,1,0.0,32234,37981,0.0,1
131,3,1,1,0.0,20197,31037,0.0,1
132,3,2,1,0.0,31037,20197,0.0,1
133,3,1,1,0.0,44760,29676,0.0,1
134,3,2,1,0.0,29676,44760,0.0,1
135,3,1,1,0.0,11356,31037,0.0,1
136,3,2,1,0.0,31037,11356,0.0,1
137,3,1,1,0.0,46616,29676,0.0,1
138,3,2,1,0.0,29676,46616,0.0,1
139,3,1,1,0.0,51941,32234,0.0,1
140,3,2,1,0.0,32234,51941,0.0,1
141,3,1,1,0.0,64212,31037,0.0,1
142,3,2,1,0.0,31037,64212,0.0,1
143,3,1,1,0.0,61870,29676,0.0,1
144,3,2,1,0.0,29676,61870,0.0,1
145,3,1,1,0.0,10260,32234,0.0,1
146,3,2,1,0.0,32234,10260,0.0,1
147,3,1,1,0.0,28074,31037,0.0,1
148,3,2,1,0.0,31037,28074,0.0,1
149,3,2,1,0.0,32234,15948,0.0,1
150,3,1,1,0.0,15948,32234,0.0,1
151,3,1,1,0.0,44072,31037,0.0,1
152,3,2,1,0.0,31037,44072,0.0,1
153,3,1,1,0.0,58545,32234,0.0,1
154,3,2,1,0.0,32234,58545,0.0,1
155,5,2,1,0.0,2077,53,0.0,2
156,5,1,1,0.0,53,2077,0.0,2
157,3,1,1,0.0,22933,32234,0.0,1
158,3,1,1,0.0,28672,32234,0.0,1
159,3,1,1,0.0,58267,31037,0.0,1
160,3,2,1,0.0,31037,58267,0.0,1
161,3,1,1,0.0,40989,32234,0.0,1
162,3,2,1,0.0,32234,40989,0.0,1
163,3,1,1,0.0,35691,31037,0.0,1
164,3,2,1,0.0,31037,35691,0.0,1
165,3,2,1,0.0,47363,32234,15.5,1
166,3,2,1,0.0,32234,47363,0.0,1
167,3,2,1,0.0,38997,32234,0.0,1
168,3,1,1,0.0,61071,31037,0.0,1
169,3,2,1,0.0,31037,61071,0.0,1
170,3,8,1,0.0,32234,61991,18.0,1
171,3,4,1,0.0,55689,29676,24.0,1
172,3,8,1,0.0,29676,55689,187.648607775,1
173,3,2,1,0.0,58173,29676,24.0,1
174,3,4,1,0.0,29676,58173,220.0,1
175,3,4,1,0.0,16004,29676,24.0,1
176,3,8,1,0.0,29676,16004,220.0,1
177,3,4,1,0.0,59110,29676,24.0,1
178,3,8,1,0.0,29676,59110,184.119526395,1
179,3,1,1,0.0,46755,29676,0.0,1
180,3,2,1,0.0,29676,46755,0.0,1
181,3,2,1,0.0,32234,43093,0.0,1
182,3,1,1,0.0,43093,32234,0.0,1
183,3,4,1,0.0,28076,29676,24.0,1
184,3,8,1,0.0,29676,28076,205.251065771,1
185,3,1,1,0.0,10027,32234,0.0,1
186,3,2,1,0.0,32234,10027,0.0,1
187,3,4,1,0.0,48134,29676,24.0,1
188,3,8,1,0.0,29676,48134,95.5614985232,1
189,3,4,1,0.0,41447,29676,24.0,1
190,3,8,1,0.0,29676,41447,95.5614985232,1
191,3,4,1,0.0,31037,19623,0.0,1
192,3,1,1,0.0,19623,31037,0.0,1
193,3,2,1,0.0,31055,29676,24.0,1
194,3,4,1,0.0,29676,31055,96.0,1
195,3,1,1,0.0,26461,32234,0.0,1
196,3,2,1,0.0,32234,26461,0.0,1
197,3,6,1,0.0,35691,29676,92.92604586440001,1
198,3,12,1,0.0,29676,35691,106.677082825,1
199,3,1,1,0.0,32614,29676,0.0,1
200,3,2,1,0.0,29676,32614,0.0,1
201,3,1,1,0.0,51010,32234,0.0,1
202,3,2,1,0.0,32234,51010,0.0,1
203,3,1,1,0.0,33239,32234,0.0,1
204,3,2,1,0.0,32234,33239,0.0,1
205,3,1,1,0.0,48851,32234,0.0,1
206,3,2,1,0.0,32234,48851,0.0,1
207,5,4,1,0.0,2077,53,0.0,2
208,5,1,1,0.0,53,2077,0.0,2
209,3,1,1,0.0,40414,31037,0.0,1
210,3,2,1,0.0,31037,40414,0.0,1
211,3,1,1,0.0,35691,29676,0.0,1
212,3,2,1,0.0,29676,35691,0.0,1
213,3,1,1,0.0,21052,29676,0.0,1
214,3,2,1,0.0,29676,21052,0.0,1
215,4,6,1,0.0,2746,25,0.0,2
216,3,1,1,0.0,8040,32234,0.0,1
217,3,2,1,0.0,32234,8040,0.0,1
218,4,6,1,0.0,1066,3128,0.0,2
219,4,6,1,0.0,2218,6667,0.0,2
220,4,3,1,0.0,6667,2218,0.0,2
221,4,4,1,0.0,1938,6667,0.0,2
222,4,4,1,0.0,1569,6667,0.0,2
223,4,6,1,0.0,1540,6667,0.0,2
224,4,2,1,0.0,1932,6667,0.0,2
225,4,4,1,0.0,2409,6667,0.0,2
226,3,1,1,0.0,65255,32234,0.0,1
227,4,4,1,0.0,2178,6667,0.0,2
228,3,2,1,0.0,29676,51413,0.0,1
229,3,1,1,0.0,51413,29676,0.0,1
230,3,4,1,0.0,29676,59343,0.0,1
231,3,1,1,0.0,55184,32234,0.0,1
232,3,2,1,0.0,32234,55184,0.0,1
233,3,1,1,0.0,1558,29676,0.0,1
234,3,2,1,0.0,29676,1558,0.0,1
235,3,1,1,0.0,21728,32234,0.0,1
236,3,2,1,0.0,32234,21728,0.0,1
237,3,1,1,0.0,2279,29676,0.0,1
238,3,2,1,0.0,29676,2279,0.0,1
239,3,2,1,0.0,19946,29676,0.0,1
240,3,4,1,0.0,29676,19946,0.0,1
241,3,1,1,0.0,46232,29676,0.0,1
242,3,2,1,0.0,29676,46232,0.0,1
243,5,2,1,0.0,2077,53,0.0,2
244,5,1,1,0.0,53,2077,0.0,2
245,5,2,1,0.0,2077,53,0.0,2
246,5,1,1,0.0,53,2077,0.0,2
247,5,6,1,0.0,2077,53,0.0,2
248,5,3,1,0.0,53,2077,0.0,2
249,3,1,1,0.0,28894,31037,0.0,1
250,3,2,1,0.0,31037,28894,0.0,1
251,3,2,1,0.0,11482,29676,0.0,1
252,3,4,1,0.0,29676,11482,0.0,1
253,3,1,1,0.0,32797,31037,0.0,1
254,3,2,1,0.0,31037,32797,0.0,1
255,3,1,1,0.0,49801,29676,0.0,1
256,3,2,1,0.0,29676,49801,0.0,1
257,3,1,1,0.0,41001,32234,0.0,1
258,3,2,1,0.0,32234,41001,0.0,1
259,3,1,1,0.0,8290,32234,0.0,1
260,3,2,1,0.0,32234,8290,0.0,1
261,3,1,1,0.0,36265,29676,0.0,1
262,3,2,1,0.0,29676,36265,0.0,1
263,3,1,1,0.0,25705,31037,0.0,1
264,3,2,1,0.0,31037,25705,0.0,1
265,3,1,1,0.0,46779,32234,0.0,1
266,3,4,1,0.0,29676,43227,0.0,1
267,3,1,1,0.0,43227,29676,0.0,1
268,5,10,1,0.0,2077,53,1.46969384567,2
269,5,5,1,0.0,53,2077,1.46969384567,2
270,5,2,1,0.0,2077,53,0.0,2
271,5,1,1,0.0,53,2077,0.0,2
272,5,2,1,0.0,2077,53,0.0,2
273,5,1,1,0.0,53,2077,0.0,2
274,5,6,1,0.0,2079,53,0.0,2
275,5,3,1,0.0,53,2079,41.9550023504,2
276,5,2,1,0.0,2077,53,0.0,2
277,5,1,1,0.0,53,2077,0.0,2
278,3,2,1,0.0,29676,20058,0.0,1
279,3,1,1,0.0,20058,29676,0.0,1
280,5,2,1,0.0,2079,53,0.0,2
281,5,1,1,0.0,53,2079,0.0,2
282,5,6,1,0.0,2077,53,0.0,2
283,5,3,1,0.0,53,2077,17.4419672693,2
284,3,1,1,0.0,44504,32234,0.0,1
285,3,2,1,0.0,32234,44504,0.0,1
286,3,1,1,0.0,31270,29676,0.0,1
287,3,2,1,0.0,29676,31270,0.0,1
288,3,1,1,0.0,20298,31037,0.0,1
289,3,2,1,0.0,31037,20298,0.0,1
290,3,1,1,0.0,37053,31037,0.0,1
291,3,2,1,0.0,31037,37053,0.0,1
292,3,4,1,0.0,32234,6881,0.0,1
293,3,6,1,0.0,31037,6881,16.9705627485,1
294,3,1,1,0.0,6881,31037,0.0,1
295,3,8,1,0.0,32234,35691,0.0,1
296,3,2,1,0.0,35691,32234,0.0,1
297,3,1,1,0.0,50289,32234,0.0,1
298,3,2,1,0.0,32234,50289,0.0,1
299,3,4,1,0.0,29676,56282,0.0,1
300,3,1,1,0.0,45602,31037,0.0,1
301,5,2,1,0.0,2079,53,0.0,2
302,5,1,1,0.0,53,2079,0.0,2
303,3,1,1,0.0,12065,32234,0.0,1
304,3,2,1,0.0,32234,12065,0.0,1
305,5,4,1,0.0,2077,53,0.0,2
306,5,1,1,0.0,53,2077,0.0,2
307,5,2,1,0.0,2077,53,0.0,2
308,5,1,1,0.0,53,2077,0.0,2
309,3,1,1,0.0,15823,32234,0.0,1
310,3,2,1,0.0,32234,15823,0.0,1
311,3,1,1,0.0,41462,29676,0.0,1
312,3,2,1,0.0,29676,41462,0.0,1
313,3,4,1,0.0,32234,29631,0.0,1
314,3,2,1,0.0,29631,32234,0.0,1
315,3,1,1,0.0,30816,32234,0.0,1
316,3,2,1,0.0,32234,30816,0.0,1
317,3,1,1,0.0,53925,32234,0.0,1
318,3,2,1,0.0,32234,53925,0.0,1
319,5,26,1,0.0,2079,53,0.0,2
320,5,13,1,0.0,53,2079,0.0,2
321,5,42,1,0.0,2077,53,0.0,2
322,5,21,1,0.0,53,2077,0.0,2
323,5,36,1,0.0,2079,53,0.0,2
324,5,18,1,0.0,53,2079,0.0,2
325,5,20,1,0.0,2077,53,0.0,2
326,5,10,1,0.0,53,2077,0.0,2
327,3,1,1,0.0,52112,32234,0.0,1
328,3,2,1,0.0,32234,52112,0.0,1
329,5,10,1,0.0,2077,53,3.6551333765,2
330,5,5,1,0.0,53,2077,18.5364505772,2
331,4,6,1,0.0,4642,25,0.0,2
332,4,6,1,0.0,4643,25,0.0,2
333,4,12,1,0.0,3515,25,0.0,2
334,4,12,1,0.0,3540,25,0.0,2
335,5,12,1,0.0,2079,53,2.42670329643,2
336,5,6,1,0.0,53,2079,14.8061548763,2
337,5,2,1,0.0,2079,53,0.0,2
338,5,1,1,0.0,53,2079,0.0,2
339,5,2,1,0.0,2079,53,0.0,2
340,5,2,1,0.0,2079,53,0.0,2
341,5,1,1,0.0,53,2079,0.0,2
342,4,2,1,0.0,16336,3389,6.0,2
343,4,2,1,0.0,3389,16336,0.0,2
344,4,40,2,42.5,23529,3389,115.658849099,2
345,4,108,3,92.5925925926,3389,23529,140.127769689,2
346,4,42,2,40.476190476199996,23592,3389,113.374692333,2
347,4,116,4,93.1034482759,3389,23592,188.844893699,2
348,4,22,5,40.9090909091,23843,3389,150.998583815,2
349,4,94,6,95.7446808511,3389,23843,150.121209516,2
350,4,38,2,44.7368421053,24265,3389,118.57730043,2
351,4,120,7,93.3333333333,3389,24265,133.474550217,2
352,6,36,2,47.2222222222,24413,3389,121.343135924,2
353,4,120,8,95.0,3389,24413,215.099777235,2
354,4,38,9,47.368421052600006,24650,3389,118.55469651799999,2
355,4,116,10,91.37931034479999,3389,24650,133.454998494,2
356,4,36,2,47.2222222222,24972,3389,121.309241605,2
357,4,112,11,92.85714285709999,3389,24972,222.774583351,2
358,4,35,12,37.1428571429,25063,3389,123.09375885600001,2
359,4,112,4,96.42857142860001,3389,25063,130.249892279,2
360,4,38,9,47.368421052600006,25545,3389,120.244363958,2
361,4,120,7,93.3333333333,3389,25545,140.316439007,2
362,4,41,2,41.4634146341,25692,3389,114.758261818,2
363,4,106,13,92.4528301887,3389,25692,129.255934005,2
364,4,40,14,47.5,25829,3389,115.64082053899999,2
365,4,130,15,90.7692307692,3389,25829,173.966006337,2
366,4,40,2,42.5,26231,3389,116.326047706,2
367,4,114,10,92.9824561404,3389,26231,125.11020688100001,2
368,4,43,14,44.1860465116,26527,3389,112.178043604,2
369,4,114,16,89.4736842105,3389,26527,128.404279415,2
370,4,39,13,35.8974358974,26641,3389,117.701379462,2
371,4,108,11,96.29629629629999,3389,26641,127.59698025,2
372,4,20,7,40.0,27075,3389,170.585894786,2
373,4,72,17,91.6666666667,3389,27075,168.02634962,2
374,4,25,5,36.0,27438,3389,141.987131811,2
375,4,78,18,94.8717948718,3389,27438,211.07176802200001,2
376,4,2,1,0.0,27815,3389,4.0,2
377,4,2,1,0.0,3389,27815,0.0,2
378,4,2,1,0.0,27898,3389,4.0,2
379,4,2,1,0.0,3389,27898,0.0,2
380,4,8,4,62.5,28067,3389,130.241062553,2
381,4,20,13,70.0,3389,28067,95.2034138043,2
382,4,2,1,0.0,28324,3389,4.0,2
383,4,2,1,0.0,3389,28324,0.0,2
384,4,2,1,0.0,28451,3389,4.0,2
385,4,2,1,0.0,3389,28451,0.0,2
386,4,2,1,0.0,28843,3389,4.0,2
387,4,2,1,0.0,3389,28843,0.0,2
388,4,2,1,0.0,28876,3389,4.0,2
389,4,2,1,0.0,3389,28876,0.0,2
390,4,22,9,45.4545454545,28941,3389,148.789634625,2
391,4,82,18,90.243902439,3389,28941,336.49396072400003,2
392,4,36,2,47.2222222222,29487,3389,119.67510996200001,2
393,4,132,19,93.9393939394,3389,29487,286.342638319,2
394,4,12,5,50.0,29875,3389,189.024469315,2
395,4,34,20,76.4705882353,3389,29875,149.935487857,2
396,4,38,2,44.7368421053,10109,3389,117.427410241,2
397,4,102,21,92.1568627451,3389,10109,137.530647383,2
398,4,39,2,43.5897435897,10229,3389,116.059360449,2
399,4,100,6,90.0,3389,10229,133.11608317600002,2
400,4,39,2,43.5897435897,10500,3389,116.285650016,2
401,4,96,22,91.6666666667,3389,10500,135.41317784,2
402,4,40,2,42.5,10577,3389,114.79237779600001,2
403,4,96,22,91.6666666667,3389,10577,135.214527015,2
404,4,39,2,43.5897435897,10625,3389,116.018231808,2
405,4,98,6,91.8367346939,3389,10625,134.214412557,2
406,4,39,2,43.5897435897,10695,3389,116.283953848,2
407,4,98,6,91.8367346939,3389,10695,133.89828734399998,2
408,4,42,2,40.476190476199996,10799,3389,112.65838435100001,2
409,4,108,13,90.74074074069999,3389,10799,134.117269745,2
410,4,41,2,41.4634146341,11161,3389,113.205393136,2
411,4,104,23,92.30769230770001,3389,11161,130.470579501,2
412,4,39,2,43.5897435897,11256,3389,115.753126631,2
413,4,96,22,91.6666666667,3389,11256,135.192518014,2
414,4,40,2,42.5,11301,3389,114.35991430600001,2
415,4,100,24,92.0,3389,11301,136.22047423200002,2
416,4,40,2,42.5,11374,3389,114.74584959799999,2
417,4,98,6,91.8367346939,3389,11374,134.006853312,2
418,4,38,2,44.7368421053,11735,3389,117.188249721,2
419,4,96,22,91.6666666667,3389,11735,135.41317784,2
420,4,38,9,47.368421052600006,11776,3389,117.20691035,2
421,4,102,24,90.1960784314,3389,11776,134.828696476,2
422,4,38,2,44.7368421053,11821,3389,117.078403188,2
423,4,100,24,92.0,3389,11821,132.61997436299998,2
424,4,43,9,41.8604651163,11866,3389,110.876155704,2
425,4,104,6,86.5384615385,3389,11866,130.846702165,2
426,4,40,2,42.5,11952,3389,114.526457096,2
427,4,100,24,92.0,3389,11952,132.653750795,2
428,4,2,1,0.0,12074,3389,4.0,2
429,4,2,1,0.0,3389,12074,0.0,2
430,4,40,2,42.5,12164,3389,114.883364766,2
431,4,104,23,92.30769230770001,3389,12164,130.346857478,2
432,4,41,2,41.4634146341,12301,3389,113.205393136,2
433,4,104,23,92.30769230770001,3389,12301,135.047486443,2
434,4,39,2,43.5897435897,12724,3389,115.753126631,2
435,4,96,22,91.6666666667,3389,12724,135.273481993,2
436,4,39,2,43.5897435897,12767,3389,115.590727591,2
437,4,98,22,89.79591836729999,3389,12767,134.33923007799999,2
438,4,36,2,47.2222222222,12834,3389,119.99652772799999,2
439,4,100,24,92.0,3389,12834,136.22047423200002,2
440,4,40,2,42.5,12879,3389,114.544966607,2
441,4,100,24,92.0,3389,12879,132.825300301,2
442,4,45,2,37.777777777800004,12970,3389,109.034469575,2
443,4,118,25,93.22033898309999,3389,12970,122.57018462100001,2
444,4,41,2,41.4634146341,13417,3389,113.270230651,2
445,4,104,21,90.3846153846,3389,13417,134.188877913,2
446,4,39,2,43.5897435897,13503,3389,115.89066805700001,2
447,4,98,6,91.8367346939,3389,13503,134.07477695,2
448,4,38,2,44.7368421053,13555,3389,117.078403188,2
449,4,96,22,91.6666666667,3389,13555,135.41317784,2
450,4,38,2,44.7368421053,13587,3389,117.157909514,2
451,4,96,22,91.6666666667,3389,13587,135.548459905,2
452,4,38,2,44.7368421053,13680,3389,117.21587915799999,2
453,4,96,22,91.6666666667,3389,13680,135.214527015,2
454,4,39,2,43.5897435897,13724,3389,116.028907731,2
455,4,98,6,91.8367346939,3389,13724,134.23676299,2
456,4,39,2,43.5897435897,13821,3389,115.791726241,2
457,4,98,6,91.8367346939,3389,13821,133.973745928,2
458,4,38,2,44.7368421053,13884,3389,117.078403188,2
459,4,102,21,92.1568627451,3389,13884,131.535482807,2
460,4,38,2,44.7368421053,13966,3389,117.359407844,2
461,4,100,24,92.0,3389,13966,192.03429797799998,2
462,4,40,2,42.5,14006,3389,114.68194060100001,2
463,4,104,23,92.30769230770001,3389,14006,130.09219961,2
464,4,38,2,44.7368421053,14097,3389,116.82169392600001,2
465,4,102,21,92.1568627451,3389,14097,131.454352641,2
466,4,40,2,42.5,14151,3389,114.544966607,2
467,4,106,13,92.4528301887,3389,14151,128.809437265,2
468,4,38,2,44.7368421053,14275,3389,117.078403188,2
469,4,96,22,91.6666666667,3389,14275,135.192954634,2
470,4,36,2,47.2222222222,14345,3389,119.917474195,2
471,4,100,24,92.0,3389,14345,132.43668525,2
472,4,39,2,43.5897435897,14408,3389,115.302797203,2
473,4,96,22,91.6666666667,3389,14408,135.258303234,2
474,4,36,2,47.2222222222,14453,3389,119.779745784,2
475,4,96,6,93.75,3389,14453,135.070654093,2
476,4,40,9,45.0,14491,3389,114.529796887,2
477,4,104,21,90.3846153846,3389,14491,136.145712219,2
478,4,38,2,44.7368421053,14534,3389,116.82169392600001,2
479,4,98,6,91.8367346939,3389,14534,140.31422462700002,2
480,4,41,2,41.4634146341,14583,3389,113.62424375399999,2
481,4,104,23,92.30769230770001,3389,14583,133.624983048,2
482,4,39,2,43.5897435897,14650,3389,116.072196355,2
483,4,100,24,92.0,3389,14650,132.98685799700002,2
484,4,39,2,43.5897435897,14747,3389,115.535206573,2
485,4,98,6,91.8367346939,3389,14747,133.996015283,2
486,4,39,2,43.5897435897,14837,3389,115.65491417,2
487,4,98,6,91.8367346939,3389,14837,134.128473165,2
488,4,39,2,43.5897435897,14906,3389,115.92897800899999,2
489,4,96,22,91.6666666667,3389,14906,135.083498805,2
490,4,38,2,44.7368421053,14952,3389,117.078403188,2
491,4,96,22,91.6666666667,3389,14952,135.379712907,2
492,4,41,14,46.3414634146,14979,3389,112.74760048799999,2
493,4,100,6,90.0,3389,14979,133.025352471,2
494,4,40,2,42.5,15017,3389,114.05632106600001,2
495,4,100,24,92.0,3389,15017,132.556084734,2
496,4,38,2,44.7368421053,15053,3389,116.94700127799999,2
497,4,96,22,91.6666666667,3389,15053,135.236750673,2
498,7,4,1,50.0,15080,3389,170.554060345,2
499,4,16,11,75.0,3389,15080,156.236199391,2
500,3,1,1,0.0,2321,32234,0.0,1
501,3,2,1,0.0,32234,2321,0.0,1
502,3,4,1,0.0,29676,13859,0.0,1
503,3,1,1,0.0,11851,32234,0.0,1
504,3,2,1,0.0,32234,11851,0.0,1
505,3,4,1,0.0,32234,20989,0.0,1
506,4,4,1,0.0,3848,6667,0.0,2
507,3,1,1,0.0,62477,29676,0.0,1
508,3,2,1,0.0,29676,62477,0.0,1
509,3,4,1,0.0,29676,11298,0.0,1
510,4,6,1,0.0,1274,6667,0.0,2
511,4,3,1,0.0,6667,1274,0.0,2
512,3,1,1,0.0,42711,32234,0.0,1
513,3,2,1,0.0,32234,42711,0.0,1
514,3,1,1,0.0,16804,32234,0.0,1
515,3,2,1,0.0,32234,16804,0.0,1
516,3,1,1,0.0,24055,31037,0.0,1
517,3,2,1,0.0,31037,24055,0.0,1
518,4,2,1,0.0,4541,6667,0.0,2
519,4,2,1,0.0,1079,6667,0.0,2
520,3,1,1,0.0,60146,32234,0.0,1
521,3,2,1,0.0,32234,60146,0.0,1
522,3,2,1,0.0,39104,32234,1.5,1
523,3,1,1,0.0,51128,29676,0.0,1
524,3,2,1,0.0,29676,51128,0.0,1
525,3,2,1,0.0,16781,31037,0.0,1
526,3,4,1,0.0,31037,16781,0.0,1
527,3,2,1,0.0,18087,32234,0.0,1
528,3,4,1,0.0,32234,18087,0.0,1
529,3,1,1,0.0,33021,31037,0.0,1
530,3,2,1,0.0,31037,33021,0.0,1
531,3,1,1,0.0,10000,32234,0.0,1
532,3,2,1,0.0,32234,10000,0.0,1
533,3,2,1,0.0,26871,32234,0.0,1
534,3,4,1,0.0,32234,26871,0.0,1
535,3,1,1,0.0,27865,32234,0.0,1
536,3,2,1,0.0,32234,27865,0.0,1
537,3,1,1,0.0,25899,31037,0.0,1
538,3,2,1,0.0,31037,25899,0.0,1
539,3,1,1,0.0,58654,31037,0.0,1
540,3,2,1,0.0,31037,58654,0.0,1
541,3,1,1,0.0,52384,31037,0.0,1
542,3,2,1,0.0,31037,52384,0.0,1
543,3,8,1,0.0,29676,16254,0.0,1
544,5,2,1,0.0,2079,53,0.0,2
545,5,1,1,0.0,53,2079,0.0,2
546,5,2,1,0.0,2077,53,0.0,2
547,5,1,1,0.0,53,2077,0.0,2
