perspect0,perspect1,class,confidence
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,2,1,"[34.11419244309086, 65.88580755690914]"
1,2,1,"[74.01754148951021, 25.98245851048975]"
2,2,1,"[25.60505620858535, 74.39494379141489]"
1,1,1,"[69.45746556423347, 30.54253443576632]"
2,1,1,"[51.44429754629519, 48.55570245370466]"
2,1,1,"[51.91356440751469, 48.086435592485216]"
2,2,1,"[25.13218892370117, 74.8678110762988]"
2,2,1,"[25.12899253664561, 74.87100746335433]"
2,2,1,"[25.146362758234165, 74.85363724176597]"
1,1,1,"[74.61945011356039, 25.380549886439624]"
2,1,1,"[51.3490595226785, 48.65094047732163]"
2,1,1,"[51.35034108315853, 48.64965891684169]"
2,2,2,"[3.800654950168571, 96.19934504983145]"
2,2,2,"[3.8246907707239526, 96.17530922927597]"
2,2,2,"[6.365396570270616, 93.63460342972925]"
2,2,2,"[5.109608138613304, 94.89039186138663]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.443125603287584, 48.55687439671239]"
2,1,1,"[51.911183042738195, 48.08881695726197]"
2,2,2,"[1.9544445027207509, 98.0455554972791]"
2,1,1,"[51.41900514430165, 48.58099485569834]"
2,1,1,"[51.51943776749054, 48.48056223250936]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.46679357347104, 48.53320642652893]"
2,1,1,"[51.41678432341027, 48.58321567658973]"
2,1,1,"[51.87445776164146, 48.12554223835836]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.44119192971369, 48.55880807028644]"
2,1,1,"[51.87590578481584, 48.124094215184115]"
2,1,1,"[51.443125603287584, 48.55687439671239]"
2,1,1,"[51.81279996013974, 48.187200039860386]"
2,1,1,"[51.40219244135691, 48.59780755864318]"
2,1,1,"[51.41386779598581, 48.586132204014355]"
2,1,1,"[51.49503334108302, 48.50496665891703]"
2,1,1,"[51.48488810242679, 48.51511189757331]"
2,1,1,"[51.41900514430165, 48.58099485569834]"
2,1,1,"[51.51943776749054, 48.48056223250936]"
2,1,1,"[51.443125603287584, 48.55687439671239]"
2,1,1,"[51.87590578481584, 48.124094215184115]"
2,2,2,"[1.9551763360578716, 98.04482366394211]"
2,2,2,"[1.9670633457654603, 98.03293665423465]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.44804270695544, 48.55195729304455]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.42961886901707, 48.570381130982994]"
2,1,1,"[51.462085275037424, 48.53791472496246]"
2,2,1,"[2.0292820334939305, 97.97071796650613]"
1,1,1,"[93.8389755869932, 6.161024413006962]"
2,2,1,"[2.069519245775454, 97.9304807542247]"
1,1,1,"[94.12408555187766, 5.875914448122455]"
2,2,1,"[2.0705176328681825, 97.92948236713195]"
1,1,1,"[94.13082226001444, 5.869177739985693]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.453279678851196, 48.546720321148975]"
2,1,1,"[51.449764242590454, 48.550235757409496]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,2,2,"[1.9382748858049523, 98.06172511419496]"
2,2,2,"[2.161601887834756, 97.83839811216535]"
2,2,2,"[1.9411874902404846, 98.0588125097594]"
2,2,2,"[2.036655848274557, 97.9633441517253]"
2,2,2,"[1.9410672561840667, 98.05893274381579]"
2,2,2,"[2.143278326715195, 97.85672167328484]"
2,1,1,"[51.44804270695544, 48.55195729304455]"
2,1,1,"[51.43895878188561, 48.56104121811449]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.443125603287584, 48.55687439671239]"
2,1,1,"[51.84200300934401, 48.15799699065583]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,2,2,"[1.9424258694443095, 98.05757413055555]"
2,2,2,"[1.9522418272137756, 98.04775817278639]"
2,1,1,"[51.40809112511013, 48.591908874889924]"
2,1,1,"[51.44804270695544, 48.55195729304455]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.47351362545681, 48.52648637454305]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.44686848695596, 48.55313151304399]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.41678432341027, 48.58321567658973]"
2,1,1,"[51.48267626446251, 48.517323735537516]"
2,1,1,"[51.64875314859976, 48.35124685140026]"
2,1,1,"[51.48464696205198, 48.515353037948096]"
2,1,1,"[51.8359946720402, 48.16400532795978]"
2,1,1,"[51.48267626446251, 48.517323735537516]"
2,1,1,"[51.83350057762968, 48.16649942237017]"
2,1,1,"[51.48267626446251, 48.517323735537516]"
2,1,1,"[51.62505857451853, 48.374941425481296]"
2,1,1,"[51.45445781698706, 48.545542183012955]"
2,1,1,"[51.6576355258854, 48.342364474114554]"
2,1,1,"[51.40409230748168, 48.595907692518274]"
2,1,1,"[51.41502228500283, 48.58497771499726]"
2,1,1,"[51.48267626446251, 48.517323735537516]"
2,1,1,"[51.74746353479889, 48.25253646520113]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.48267626446251, 48.517323735537516]"
2,1,1,"[51.435995349381365, 48.56400465061863]"
2,1,1,"[51.48267626446251, 48.517323735537516]"
2,1,1,"[51.435995349381365, 48.56400465061863]"
2,1,1,"[51.40219244135691, 48.59780755864318]"
2,1,1,"[51.41502228500283, 48.58497771499726]"
2,1,1,"[51.48464696205198, 48.515353037948096]"
2,1,1,"[51.477164299086134, 48.52283570091378]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.503620096952126, 48.49637990304776]"
2,1,1,"[51.55727677250633, 48.442723227493595]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,2,2,"[1.9372541366879572, 98.06274586331182]"
2,2,2,"[2.0637313568073994, 97.9362686431926]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,2,2,"[2.008798961502183, 97.99120103849769]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,2,2,"[1.999092491121836, 98.00090750887813]"
2,2,2,"[3.940367145240977, 96.05963285475892]"
2,2,2,"[4.23333429565076, 95.76666570434925]"
2,2,2,"[3.8727459808034226, 96.1272540191966]"
2,2,2,"[3.8154013112716747, 96.18459868872839]"
2,2,2,"[3.811100389099223, 96.18889961090078]"
2,2,2,"[3.873365815324515, 96.12663418467551]"
2,2,2,"[4.0022516652433096, 95.99774833475678]"
2,1,1,"[51.44804270695544, 48.55195729304455]"
2,2,2,"[3.9304485867327843, 96.06955141326716]"
2,1,1,"[51.443125603287584, 48.55687439671239]"
2,1,1,"[51.84200300934401, 48.15799699065583]"
2,1,1,"[51.44119192971369, 48.55880807028644]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.449406904868816, 48.55059309513132]"
2,1,1,"[51.89674848529526, 48.10325151470488]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,2,2,"[1.9438140364536132, 98.0561859635462]"
2,2,2,"[2.113975132743174, 97.88602486725696]"
2,2,2,"[1.9377994714195008, 98.06220052858032]"
2,2,2,"[2.032301553314178, 97.96769844668594]"
2,2,2,"[1.940652308078631, 98.05934769192129]"
2,2,2,"[2.1116958055129325, 97.88830419448718]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.449406904868816, 48.55059309513132]"
2,1,1,"[51.89674848529526, 48.10325151470488]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.44429754629519, 48.55570245370466]"
2,1,1,"[51.91356440751469, 48.086435592485216]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.44804270695544, 48.55195729304455]"
2,1,1,"[51.44119192971369, 48.55880807028644]"
2,1,1,"[51.87590578481584, 48.124094215184115]"
2,2,2,"[1.9360256487489147, 98.06397435125115]"
2,2,2,"[2.052650972008347, 97.94734902799189]"
2,2,2,"[1.9459518895117465, 98.05404811048834]"
2,2,2,"[2.0365475589232216, 97.96345244107678]"
2,2,2,"[1.9417428739146558, 98.05825712608541]"
2,2,2,"[2.2068444744047033, 97.7931555255955]"
2,2,2,"[1.9367008152763674, 98.06329918472358]"
2,2,2,"[1.9786139250739652, 98.021386074926]"
2,2,2,"[1.939084565459662, 98.06091543454042]"
2,2,2,"[2.0653291046275193, 97.93467089537242]"
2,1,1,"[51.443125603287584, 48.55687439671239]"
2,1,1,"[51.87590578481584, 48.124094215184115]"
2,2,2,"[1.9418631079710735, 98.05813689202903]"
2,2,2,"[1.986413093444689, 98.0135869065551]"
2,2,2,"[1.940652308078631, 98.05934769192129]"
2,2,2,"[1.956627054835414, 98.04337294516465]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.44119192971369, 48.55880807028644]"
2,1,1,"[51.42441136334232, 48.5755886366578]"
2,1,1,"[51.87590578481584, 48.124094215184115]"
2,1,1,"[51.39997746834676, 48.60002253165322]"
2,1,1,"[51.40409230748168, 48.595907692518274]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.44119192971369, 48.55880807028644]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,2,2,"[1.9453520775529776, 98.05464792244709]"
2,2,2,"[2.0380889871400614, 97.9619110128597]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,2,2,"[1.938567649056695, 98.0614323509433]"
2,2,2,"[1.9661296768442176, 98.0338703231559]"
2,2,2,"[1.9403990057612601, 98.05960099423865]"
2,2,2,"[1.9661296768442176, 98.0338703231559]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.40219244135691, 48.59780755864318]"
2,1,1,"[51.41386779598581, 48.586132204014355]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,2,2,"[1.9552726628098298, 98.04472733719007]"
2,2,2,"[3.5962092549933358, 96.40379074500657]"
2,2,2,"[2.005048903130698, 97.99495109686922]"
2,2,2,"[3.62651257252938, 96.37348742747086]"
2,2,2,"[1.9818941981309848, 98.01810580186891]"
2,2,2,"[3.6073907579564466, 96.39260924204348]"
2,2,2,"[1.9461812123356932, 98.05381878766427]"
2,2,2,"[3.6017870090158763, 96.3982129909842]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,2,2,"[1.936795548087311, 98.06320445191278]"
2,2,2,"[2.014054078328114, 97.98594592167183]"
2,2,2,"[2.46105444322561, 97.53894555677432]"
2,2,2,"[2.4614734064927264, 97.53852659350716]"
2,2,2,"[2.12623895990564, 97.87376104009427]"
2,2,2,"[2.131267901836523, 97.86873209816335]"
2,2,2,"[1.9358549873514144, 98.06414501264871]"
2,2,2,"[2.0083628415102552, 97.99163715848968]"
2,2,2,"[1.9405192398176778, 98.05948076018228]"
2,2,2,"[2.1907409041821495, 97.80925909581775]"
2,2,2,"[1.9405192398176778, 98.05948076018228]"
2,2,2,"[1.9446394635607083, 98.05536053643925]"
2,2,2,"[2.313931339620404, 97.6860686603796]"
2,1,2,"[51.34165823458059, 48.65834176541947]"
2,1,2,"[51.332575607810526, 48.6674243921894]"
2,1,2,"[51.395535921166946, 48.60446407883313]"
2,1,2,"[52.130823513967755, 47.86917648603224]"
2,1,2,"[51.40341332334222, 48.596586676657864]"
2,1,2,"[52.36869024274918, 47.63130975725077]"
2,1,2,"[51.36381151239617, 48.63618848760395]"
2,1,2,"[51.96531296652013, 48.03468703347998]"
2,1,2,"[51.389077004388824, 48.61092299561118]"
2,1,2,"[52.39786870911242, 47.602131290887726]"
2,1,2,"[51.350886206512385, 48.64911379348794]"
2,1,2,"[52.56626518033251, 47.433734819667585]"
2,1,2,"[51.39068343018427, 48.609316569815725]"
2,1,2,"[52.31089628816147, 47.68910371183848]"
2,1,2,"[51.38582300111222, 48.614176998887956]"
2,1,2,"[52.40031947272813, 47.599680527271815]"
2,1,2,"[51.376969967545534, 48.623030032454395]"
2,1,2,"[52.220824560892915, 47.77917543910694]"
2,1,2,"[51.392531143937916, 48.60746885606191]"
2,1,2,"[52.4048495932029, 47.59515040679735]"
2,1,2,"[51.40028064833894, 48.599719351661044]"
2,1,2,"[52.07815727036851, 47.921842729631386]"
2,1,2,"[51.397915274754894, 48.60208472524518]"
2,1,2,"[52.691867279094545, 47.30813272090524]"
2,1,2,"[51.397168043813636, 48.60283195618642]"
2,1,2,"[52.23458437165869, 47.76541562834113]"
2,1,2,"[51.408005961948945, 48.591994038051304]"
2,1,2,"[52.2454067270432, 47.75459327295677]"
2,1,2,"[51.39071736133134, 48.60928263866871]"
2,1,2,"[52.12728897909737, 47.8727110209026]"
2,1,2,"[51.39239706690106, 48.60760293309888]"
2,1,2,"[51.69875233701589, 48.30124766298433]"
2,1,2,"[51.359763029720895, 48.64023697027886]"
2,1,2,"[51.81433000561449, 48.1856699943858]"
2,1,2,"[51.35099556329887, 48.64900443670133]"
2,1,2,"[51.35342673451744, 48.64657326548253]"
2,1,2,"[51.35099556329887, 48.649004436701325]"
2,1,2,"[51.35342673451744, 48.64657326548246]"
2,1,2,"[51.35233263566285, 48.64766736433684]"
2,1,2,"[51.35382381185278, 48.64617618814727]"
2,1,2,"[51.35099556329887, 48.64900443670131]"
2,1,2,"[51.3534267345178, 48.64657326548227]"
2,1,2,"[51.35099556329887, 48.64900443670131]"
2,1,2,"[51.3534267345178, 48.64657326548224]"
2,1,2,"[51.35099556329887, 48.649004436701304]"
2,1,2,"[51.3534267345178, 48.6465732654822]"
2,1,2,"[51.35099556329887, 48.649004436701304]"
2,1,2,"[51.3534267345178, 48.646573265482196]"
2,1,2,"[51.366854696251025, 48.63314530374888]"
2,1,2,"[53.5432085662074, 46.45679143379274]"
2,1,2,"[51.38526010377808, 48.614739896222034]"
2,1,2,"[53.746069375859385, 46.253930624140594]"
2,1,2,"[51.43542858155617, 48.56457141844375]"
2,1,2,"[51.45598930009243, 48.54401069990767]"
2,2,2,"[15.968135203423655, 84.03186479657637]"
2,2,2,"[2.0168391748737724, 97.98316082512616]"
2,2,2,"[17.98763283519269, 82.01236716480749]"
2,2,2,"[2.053558061434096, 97.94644193856581]"
2,2,2,"[21.18512272876646, 78.81487727123334]"
2,2,2,"[1.911167604845695, 98.08883239515464]"
2,2,2,"[22.912621630378123, 77.08737836962192]"
2,2,2,"[1.9110179396214468, 98.08898206037864]"
2,2,2,"[22.75279749853447, 77.24720250146576]"
2,2,2,"[2.0336939552325037, 97.96630604476752]"
2,2,2,"[23.666055557249773, 76.33394444275052]"
2,2,2,"[2.040105732385103, 97.95989426761498]"
2,1,2,"[27.22976073400463, 72.77023926599551]"
2,2,2,"[2.1238129260597005, 97.87618707394017]"
2,1,2,"[31.388004815926088, 68.61199518407392]"
2,2,2,"[2.044081439585265, 97.95591856041484]"
2,1,2,"[31.202576512921834, 68.7974234870784]"
2,2,2,"[1.9110861838254178, 98.08891381617471]"
2,1,2,"[32.549845222981816, 67.45015477701828]"
2,2,2,"[1.9798008243874317, 98.02019917561267]"
2,1,2,"[33.516197438450696, 66.48380256154911]"
2,2,2,"[2.140641906814814, 97.85935809318511]"
2,1,2,"[36.62644905962742, 63.37355094037249]"
2,2,2,"[1.9111676374060942, 98.08883236259402]"
2,2,2,"[10.72590804630136, 89.27409195369876]"
2,2,2,"[2.01387636650733, 97.98612363349275]"
2,1,2,"[37.652016249075274, 62.34798375092462]"
2,2,2,"[1.9747904882818652, 98.02520951171832]"
2,2,2,"[14.541316667374993, 85.45868333262497]"
2,2,2,"[2.7291997516975623, 97.27080024830238]"
2,1,2,"[40.32875210244439, 59.6712478975554]"
2,2,2,"[1.9747816433196619, 98.02521835668014]"
2,1,2,"[46.86818844050295, 53.131811559497194]"
2,1,2,"[44.865875812529225, 55.13412418747078]"
2,1,2,"[42.3823562877893, 57.61764371221068]"
2,2,2,"[2.043456038460933, 97.95654396153893]"
2,1,2,"[43.92950773664758, 56.07049226335256]"
2,2,2,"[2.0507163319749013, 97.94928366802517]"
2,1,2,"[46.18015817260124, 53.81984182739903]"
2,2,2,"[1.9112285040355168, 98.08877149596464]"
2,1,2,"[46.42989376092394, 53.570106239075955]"
2,2,2,"[1.940487118061207, 98.0595128819389]"
2,1,2,"[45.77285611174231, 54.2271438882579]"
2,2,2,"[1.9798008287144886, 98.02019917128547]"
2,1,2,"[47.288166054463034, 52.711833945536995]"
2,2,2,"[1.9734438546351023, 98.0265561453649]"
2,1,2,"[48.501238809169614, 51.49876119083032]"
2,2,2,"[2.329791411121075, 97.6702085888792]"
2,1,2,"[49.414010409188066, 50.58598959081198]"
2,2,2,"[2.048700304469083, 97.9512996955308]"
2,1,2,"[49.4023809205477, 50.597619079452315]"
2,2,2,"[4.231753974795599, 95.7682460252042]"
2,1,2,"[49.402309784762, 50.59769021523819]"
2,2,2,"[1.911167986918383, 98.08883201308194]"
2,1,2,"[49.48681743431575, 50.513182565684296]"
2,2,2,"[1.9112676924963898, 98.08873230750345]"
2,1,2,"[49.70722846121332, 50.29277153878639]"
2,2,2,"[1.9110183895966144, 98.0889816104033]"
2,1,2,"[49.91074633698408, 50.089253663016]"
2,2,2,"[4.943456807553268, 95.05654319244672]"
2,1,2,"[50.09126130518959, 49.90873869481011]"
2,2,2,"[5.31930088378464, 94.68069911621524]"
2,1,2,"[50.11341618005553, 49.886583819944335]"
2,2,2,"[2.0062733984191197, 97.99372660158092]"
2,1,2,"[50.25098725029078, 49.7490127497091]"
2,2,2,"[2.039673058120025, 97.96032694188]"
2,1,2,"[50.44851323429693, 49.551486765702904]"
2,2,2,"[2.042183267078605, 97.95781673292169]"
2,1,2,"[50.43943591722961, 49.560564082770384]"
2,2,2,"[2.0071743340826496, 97.99282566591722]"
2,1,2,"[50.62287066625838, 49.377129333741614]"
2,2,2,"[2.140684971605435, 97.85931502839458]"
2,1,2,"[50.652084096031516, 49.34791590396847]"
2,2,2,"[1.9110234696429673, 98.08897653035723]"
2,1,2,"[50.60664590136308, 49.3933540986367]"
2,2,2,"[1.9747439540660614, 98.02525604593373]"
2,1,2,"[50.82230165778176, 49.17769834221832]"
2,2,2,"[1.911073620364925, 98.08892637963498]"
2,1,2,"[50.718580419948395, 49.28141958005175]"
2,2,2,"[7.628217849539129, 92.37178215046066]"
2,1,2,"[46.75110989784476, 53.24889010215507]"
2,2,2,"[2.0537907970001847, 97.94620920299964]"
2,1,2,"[50.8821553196267, 49.11784468037301]"
2,2,2,"[10.065439590911472, 89.93456040908856]"
2,1,2,"[51.009043702838284, 48.9909562971618]"
2,2,2,"[2.049782750541397, 97.95021724945845]"
2,1,2,"[50.99397355866494, 49.00602644133491]"
2,2,2,"[1.9746638809830033, 98.025336119017]"
2,1,2,"[51.046608318472934, 48.953391681526995]"
2,2,2,"[12.11912699859398, 87.88087300140623]"
2,1,2,"[51.090548444003126, 48.90945155599683]"
2,2,2,"[13.193476430767378, 86.80652356923252]"
2,1,2,"[51.12073779888822, 48.87926220111184]"
2,2,2,"[1.9110479766196458, 98.08895202338033]"
2,1,2,"[51.117902034356646, 48.882097965643375]"
2,2,2,"[1.9111452911455742, 98.08885470885431]"
2,2,2,"[14.730638409190071, 85.2693615908101]"
2,2,2,"[17.714059618802665, 82.2859403811972]"
2,1,2,"[51.179248658517395, 48.82075134148285]"
2,2,2,"[1.9747124563193816, 98.0252875436804]"
2,1,2,"[51.156442482296995, 48.843557517702926]"
2,2,2,"[1.91114357298262, 98.08885642701725]"
2,1,2,"[51.09844037060032, 48.901559629399834]"
2,2,2,"[11.49163319229066, 88.50836680770914]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.44119192971369, 48.55880807028644]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.44119192971369, 48.55880807028644]"
2,2,2,"[4.90921182084694, 95.09078817915307]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.44119192971369, 48.55880807028644]"
2,2,2,"[3.7942032386375457, 96.2057967613624]"
2,2,2,"[4.089360946751352, 95.9106390532486]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
