,avg_byte,protocol,pack_exc,byte_exc,src_port,dst_port,class
74,131.0,3,1,131,58875,31037,1
75,326.0,3,2,652,31037,58875,1
76,131.0,3,1,131,44537,32234,1
77,326.0,3,2,652,32234,44537,1
78,131.0,3,1,131,33746,31037,1
79,326.0,3,2,652,31037,33746,1
80,131.0,3,1,131,25182,31037,1
81,326.0,3,2,652,31037,25182,1
82,126.0,3,4,504,29676,7888,1
83,319.0,3,1,319,7888,29676,1
84,126.0,3,2,252,29676,19366,1
85,300.0,3,1,300,19366,29676,1
86,90.0,3,4,360,29676,32752,1
87,100.0,3,2,200,32752,29676,1
88,183.33333333299998,3,3,550,24625,32234,1
89,180.66666666700002,3,6,1084,32234,24625,1
90,108.0,3,4,432,29676,36462,1
91,199.5,3,2,399,36462,29676,1
92,126.0,3,2,252,29676,20030,1
93,319.0,3,1,319,20030,29676,1
94,77.0,5,2,154,2077,53,2
95,93.0,5,1,93,53,2077,2
96,131.0,3,1,131,16366,32234,1
97,326.0,3,2,652,32234,16366,1
98,129.0,3,1,129,29963,31037,1
99,131.0,3,1,131,27062,32234,1
100,326.0,3,2,652,32234,27062,1
101,131.0,3,1,131,59487,32234,1
102,326.0,3,2,652,32234,59487,1
103,131.0,3,1,131,35691,31037,1
104,326.0,3,2,652,31037,35691,1
105,115.5,3,2,231,35691,32234,1
106,168.66666666700002,3,6,1012,32234,35691,1
107,54.285714285699996,4,7,380,3008,80,1
108,810.857142857,4,7,5676,80,3008,1
109,54.285714285699996,4,7,380,3274,80,1
110,810.857142857,4,7,5676,80,3274,1
111,54.285714285699996,4,7,380,3280,80,1
112,810.857142857,4,7,5676,80,3280,1
113,131.0,3,1,131,4044,32234,1
114,326.0,3,2,652,32234,4044,1
115,134.0,3,2,268,25562,31037,1
116,133.0,3,4,532,31037,25562,1
117,131.0,3,1,131,24663,32234,1
118,326.0,3,2,652,32234,24663,1
119,131.0,3,1,131,41294,29676,1
120,326.0,3,2,652,29676,41294,1
121,131.0,3,1,131,38907,31037,1
122,326.0,3,2,652,31037,38907,1
123,57.0,5,4,228,2079,53,2
124,220.5,5,2,441,53,2079,2
125,58.0,5,2,116,2079,53,2
126,152.0,5,1,152,53,2079,2
127,58.0,5,2,116,2077,53,2
128,214.0,5,1,214,53,2077,2
129,129.0,3,1,129,45718,29676,1
130,126.0,3,8,1008,32234,37981,1
131,131.0,3,1,131,20197,31037,1
132,326.0,3,2,652,31037,20197,1
133,131.0,3,1,131,44760,29676,1
134,326.0,3,2,652,29676,44760,1
135,131.0,3,1,131,11356,31037,1
136,326.0,3,2,652,31037,11356,1
137,131.0,3,1,131,46616,29676,1
138,326.0,3,2,652,29676,46616,1
139,131.0,3,1,131,51941,32234,1
140,326.0,3,2,652,32234,51941,1
141,131.0,3,1,131,64212,31037,1
142,326.0,3,2,652,31037,64212,1
143,131.0,3,1,131,61870,29676,1
144,326.0,3,2,652,29676,61870,1
145,131.0,3,1,131,10260,32234,1
146,326.0,3,2,652,32234,10260,1
147,131.0,3,1,131,28074,31037,1
148,326.0,3,2,652,31037,28074,1
149,126.0,3,2,252,32234,15948,1
150,309.0,3,1,309,15948,32234,1
151,131.0,3,1,131,44072,31037,1
152,326.0,3,2,652,31037,44072,1
153,131.0,3,1,131,58545,32234,1
154,326.0,3,2,652,32234,58545,1
155,60.0,5,2,120,2077,53,2
156,76.0,5,1,76,53,2077,2
157,93.0,3,1,93,22933,32234,1
158,129.0,3,1,129,28672,32234,1
159,131.0,3,1,131,58267,31037,1
160,326.0,3,2,652,31037,58267,1
161,131.0,3,1,131,40989,32234,1
162,326.0,3,2,652,32234,40989,1
163,131.0,3,1,131,35691,31037,1
164,326.0,3,2,652,31037,35691,1
165,149.5,3,2,299,47363,32234,1
166,326.0,3,2,652,32234,47363,1
167,129.0,3,2,258,38997,32234,1
168,131.0,3,1,131,61071,31037,1
169,326.0,3,2,652,31037,61071,1
170,108.0,3,8,864,32234,61991,1
171,158.0,3,4,632,55689,29676,1
172,255.0,3,8,2040,29676,55689,1
173,158.0,3,2,316,58173,29676,1
174,297.0,3,4,1188,29676,58173,1
175,158.0,3,4,632,16004,29676,1
176,297.0,3,8,2376,29676,16004,1
177,158.0,3,4,632,59110,29676,1
178,247.0,3,8,1976,29676,59110,1
179,134.0,3,1,134,46755,29676,1
180,245.0,3,2,490,29676,46755,1
181,90.0,3,2,180,32234,43093,1
182,100.0,3,1,100,43093,32234,1
183,158.0,3,4,632,28076,29676,1
184,281.0,3,8,2248,29676,28076,1
185,131.0,3,1,131,10027,32234,1
186,326.0,3,2,652,32234,10027,1
187,158.0,3,4,632,48134,29676,1
188,147.0,3,8,1176,29676,48134,1
189,158.0,3,4,632,41447,29676,1
190,147.0,3,8,1176,29676,41447,1
191,90.0,3,4,360,31037,19623,1
192,100.0,3,1,100,19623,31037,1
193,158.0,3,2,316,31055,29676,1
194,173.0,3,4,692,29676,31055,1
195,131.0,3,1,131,26461,32234,1
196,326.0,3,2,652,32234,26461,1
197,188.5,3,6,1131,35691,29676,1
198,220.0,3,12,2640,29676,35691,1
199,131.0,3,1,131,32614,29676,1
200,326.0,3,2,652,29676,32614,1
201,131.0,3,1,131,51010,32234,1
202,326.0,3,2,652,32234,51010,1
203,131.0,3,1,131,33239,32234,1
204,326.0,3,2,652,32234,33239,1
205,131.0,3,1,131,48851,32234,1
206,326.0,3,2,652,32234,48851,1
207,55.0,5,4,220,2077,53,2
208,170.0,5,1,170,53,2077,2
209,131.0,3,1,131,40414,31037,1
210,326.0,3,2,652,31037,40414,1
211,131.0,3,1,131,35691,29676,1
212,326.0,3,2,652,29676,35691,1
213,131.0,3,1,131,21052,29676,1
214,326.0,3,2,652,29676,21052,1
215,48.0,4,6,288,2746,25,2
216,131.0,3,1,131,8040,32234,1
217,326.0,3,2,652,32234,8040,1
218,48.0,4,6,288,1066,3128,2
219,48.0,4,6,288,2218,6667,2
220,40.0,4,3,120,6667,2218,2
221,48.0,4,4,192,1938,6667,2
222,48.0,4,4,192,1569,6667,2
223,48.0,4,6,288,1540,6667,2
224,48.0,4,2,96,1932,6667,2
225,48.0,4,4,192,2409,6667,2
226,129.0,3,1,129,65255,32234,1
227,48.0,4,4,192,2178,6667,2
228,126.0,3,2,252,29676,51413,1
229,309.0,3,1,309,51413,29676,1
230,126.0,3,4,504,29676,59343,1
231,131.0,3,1,131,55184,32234,1
232,326.0,3,2,652,32234,55184,1
233,131.0,3,1,131,1558,29676,1
234,326.0,3,2,652,29676,1558,1
235,131.0,3,1,131,21728,32234,1
236,326.0,3,2,652,32234,21728,1
237,131.0,3,1,131,2279,29676,1
238,326.0,3,2,652,29676,2279,1
239,131.0,3,2,262,19946,29676,1
240,326.0,3,4,1304,29676,19946,1
241,131.0,3,1,131,46232,29676,1
242,326.0,3,2,652,29676,46232,1
243,62.0,5,2,124,2077,53,2
244,199.0,5,1,199,53,2077,2
245,53.0,5,2,106,2077,53,2
246,149.0,5,1,149,53,2077,2
247,62.0,5,6,372,2077,53,2
248,199.0,5,3,597,53,2077,2
249,131.0,3,1,131,28894,31037,1
250,326.0,3,2,652,31037,28894,1
251,131.0,3,2,262,11482,29676,1
252,326.0,3,4,1304,29676,11482,1
253,131.0,3,1,131,32797,31037,1
254,326.0,3,2,652,31037,32797,1
255,131.0,3,1,131,49801,29676,1
256,326.0,3,2,652,29676,49801,1
257,131.0,3,1,131,41001,32234,1
258,326.0,3,2,652,32234,41001,1
259,126.0,3,1,126,8290,32234,1
260,330.0,3,2,660,32234,8290,1
261,131.0,3,1,131,36265,29676,1
262,326.0,3,2,652,29676,36265,1
263,131.0,3,1,131,25705,31037,1
264,326.0,3,2,652,31037,25705,1
265,129.0,3,1,129,46779,32234,1
266,126.0,3,4,504,29676,43227,1
267,319.0,3,1,319,43227,29676,1
268,57.8,5,10,578,2077,53,2
269,165.8,5,5,829,53,2077,2
270,65.0,5,2,130,2077,53,2
271,152.0,5,1,152,53,2077,2
272,59.0,5,2,118,2077,53,2
273,243.0,5,1,243,53,2077,2
274,56.0,5,6,336,2079,53,2
275,115.333333333,5,3,346,53,2079,2
276,55.0,5,2,110,2077,53,2
277,171.0,5,1,171,53,2077,2
278,126.0,3,2,252,29676,20058,1
279,319.0,3,1,319,20058,29676,1
280,59.0,5,2,118,2079,53,2
281,112.0,5,1,112,53,2079,2
282,62.0,5,6,372,2077,53,2
283,90.3333333333,5,3,271,53,2077,2
284,131.0,3,1,131,44504,32234,1
285,326.0,3,2,652,32234,44504,1
286,131.0,3,1,131,31270,29676,1
287,326.0,3,2,652,29676,31270,1
288,131.0,3,1,131,20298,31037,1
289,326.0,3,2,652,31037,20298,1
290,131.0,3,1,131,37053,31037,1
291,326.0,3,2,652,31037,37053,1
292,126.0,3,4,504,32234,6881,1
293,114.0,3,6,684,31037,6881,1
294,319.0,3,1,319,6881,31037,1
295,90.0,3,8,720,32234,35691,1
296,90.0,3,2,180,35691,32234,1
297,131.0,3,1,131,50289,32234,1
298,326.0,3,2,652,32234,50289,1
299,126.0,3,4,504,29676,56282,1
300,131.0,3,1,131,45602,31037,1
301,64.0,5,2,128,2079,53,2
302,153.0,5,1,153,53,2079,2
303,131.0,3,1,131,12065,32234,1
304,326.0,3,2,652,32234,12065,1
305,57.0,5,4,228,2077,53,2
306,92.0,5,1,92,53,2077,2
307,57.0,5,2,114,2077,53,2
308,92.0,5,1,92,53,2077,2
309,131.0,3,1,131,15823,32234,1
310,326.0,3,2,652,32234,15823,1
311,131.0,3,1,131,41462,29676,1
312,326.0,3,2,652,29676,41462,1
313,90.0,3,4,360,32234,29631,1
314,100.0,3,2,200,29631,32234,1
315,131.0,3,1,131,30816,32234,1
316,326.0,3,2,652,32234,30816,1
317,131.0,3,1,131,53925,32234,1
318,326.0,3,2,652,32234,53925,1
319,62.0,5,26,1612,2079,53,2
320,529.0,5,13,6877,53,2079,2
321,63.0,5,42,2646,2077,53,2
322,530.0,5,21,11130,53,2077,2
323,62.0,5,36,2232,2079,53,2
324,529.0,5,18,9522,53,2079,2
325,63.0,5,20,1260,2077,53,2
326,530.0,5,10,5300,53,2077,2
327,131.0,3,1,131,52112,32234,1
328,326.0,3,2,652,32234,52112,1
329,60.2,5,10,602,2077,53,2
330,143.0,5,5,715,53,2077,2
331,48.0,4,6,288,4642,25,2
332,48.0,4,6,288,4643,25,2
333,48.0,4,12,576,3515,25,2
334,48.0,4,12,576,3540,25,2
335,57.6666666667,5,12,692,2079,53,2
336,138.33333333299998,5,6,830,53,2079,2
337,57.0,5,2,114,2079,53,2
338,236.0,5,1,236,53,2079,2
339,57.0,5,2,114,2079,53,2
340,63.0,5,2,126,2079,53,2
341,284.0,5,1,284,53,2079,2
342,46.0,4,2,92,16336,3389,2
343,52.0,4,2,104,3389,16336,2
344,83.675,4,40,3347,23529,3389,2
345,113.20370370399999,4,108,12226,3389,23529,2
346,82.5238095238,4,42,3466,23592,3389,2
347,130.948275862,4,116,15190,3389,23592,2
348,106.863636364,4,22,2351,23843,3389,2
349,152.510638298,4,94,14336,3389,23843,2
350,85.94736842110001,4,38,3266,24265,3389,2
351,115.666666667,4,120,13880,3389,24265,2
352,91.8055555556,6,36,3305,24413,3389,2
353,142.55,4,120,17106,3389,24413,2
354,87.68421052629999,4,38,3332,24650,3389,2
355,118.93103448299999,4,116,13796,3389,24650,2
356,90.8888888889,4,36,3272,24972,3389,2
357,141.803571429,4,112,15882,3389,24972,2
358,85.4285714286,4,35,2990,25063,3389,2
359,116.964285714,4,112,13100,3389,25063,2
360,90.23684210530001,4,38,3429,25545,3389,2
361,119.616666667,4,120,14354,3389,25545,2
362,84.17073170729999,4,41,3451,25692,3389,2
363,103.188679245,4,106,10938,3389,25692,2
364,86.275,4,40,3451,25829,3389,2
365,121.369230769,4,130,15778,3389,25829,2
366,85.725,4,40,3429,26231,3389,2
367,100.543859649,4,114,11462,3389,26231,2
368,82.3953488372,4,43,3543,26527,3389,2
369,107.245614035,4,114,12226,3389,26527,2
370,83.358974359,4,39,3251,26641,3389,2
371,109.462962963,4,108,11822,3389,26641,2
372,129.55,4,20,2591,27075,3389,2
373,154.08333333299998,4,72,11094,3389,27075,2
374,97.88,4,25,2447,27438,3389,2
375,149.128205128,4,78,11632,3389,27438,2
376,44.0,4,2,88,27815,3389,2
377,48.0,4,2,96,3389,27815,2
378,44.0,4,2,88,27898,3389,2
379,48.0,4,2,96,3389,27898,2
380,102.625,4,8,821,28067,3389,2
381,84.9,4,20,1698,3389,28067,2
382,44.0,4,2,88,28324,3389,2
383,48.0,4,2,96,3389,28324,2
384,44.0,4,2,88,28451,3389,2
385,48.0,4,2,96,3389,28451,2
386,44.0,4,2,88,28843,3389,2
387,48.0,4,2,96,3389,28843,2
388,44.0,4,2,88,28876,3389,2
389,48.0,4,2,96,3389,28876,2
390,109.909090909,4,22,2418,28941,3389,2
391,232.90243902400002,4,82,19098,3389,28941,2
392,89.75,4,36,3231,29487,3389,2
393,181.212121212,4,132,23920,3389,29487,2
394,155.5,4,12,1866,29875,3389,2
395,157.23529411799998,4,34,5346,3389,29875,2
396,85.5263157895,4,38,3250,10109,3389,2
397,110.450980392,4,102,11266,3389,10109,2
398,86.3846153846,4,39,3369,10229,3389,2
399,102.78,4,100,10278,3389,10229,2
400,85.51282051279999,4,39,3335,10500,3389,2
401,105.020833333,4,96,10082,3389,10500,2
402,84.4,4,40,3376,10577,3389,2
403,104.895833333,4,96,10070,3389,10577,2
404,86.0256410256,4,39,3355,10625,3389,2
405,104.040816327,4,98,10196,3389,10625,2
406,84.8717948718,4,39,3310,10695,3389,2
407,103.93877551,4,98,10186,3389,10695,2
408,84.5714285714,4,42,3552,10799,3389,2
409,107.75925925899999,4,108,11638,3389,10799,2
410,82.0487804878,4,41,3364,11161,3389,2
411,104.75,4,104,10894,3389,11161,2
412,86.3333333333,4,39,3367,11256,3389,2
413,104.9375,4,96,10074,3389,11256,2
414,84.6,4,40,3384,11301,3389,2
415,108.32,4,100,10832,3389,11301,2
416,83.2,4,40,3328,11374,3389,2
417,104.85714285700001,4,98,10276,3389,11374,2
418,87.42105263159999,4,38,3322,11735,3389,2
419,105.020833333,4,96,10082,3389,11735,2
420,87.4736842105,4,38,3324,11776,3389,2
421,108.352941176,4,102,11052,3389,11776,2
422,85.5526315789,4,38,3251,11821,3389,2
423,104.68,4,100,10468,3389,11821,2
424,83.67441860470001,4,43,3598,11866,3389,2
425,101.423076923,4,104,10548,3389,11866,2
426,84.875,4,40,3395,11952,3389,2
427,104.68,4,100,10468,3389,11952,2
428,44.0,4,2,88,12074,3389,2
429,48.0,4,2,96,3389,12074,2
430,83.25,4,40,3330,12164,3389,2
431,104.346153846,4,104,10852,3389,12164,2
432,82.0487804878,4,41,3364,12301,3389,2
433,109.44230769200001,4,104,11382,3389,12301,2
434,86.3333333333,4,39,3367,12724,3389,2
435,105.041666667,4,96,10084,3389,12724,2
436,85.7435897436,4,39,3344,12767,3389,2
437,103.693877551,4,98,10162,3389,12767,2
438,88.0,4,36,3168,12834,3389,2
439,108.32,4,100,10832,3389,12834,2
440,83.275,4,40,3331,12879,3389,2
441,103.86,4,100,10386,3389,12879,2
442,80.2,4,45,3609,12970,3389,2
443,103.20338983100001,4,118,12178,3389,12970,2
444,82.4146341463,4,41,3379,13417,3389,2
445,108.134615385,4,104,11246,3389,13417,2
446,86.3846153846,4,39,3369,13503,3389,2
447,104.489795918,4,98,10240,3389,13503,2
448,85.5526315789,4,38,3251,13555,3389,2
449,105.020833333,4,96,10082,3389,13555,2
450,87.60526315790001,4,38,3329,13587,3389,2
451,105.104166667,4,96,10090,3389,13587,2
452,85.7368421053,4,38,3258,13680,3389,2
453,104.895833333,4,96,10070,3389,13680,2
454,86.4358974359,4,39,3371,13724,3389,2
455,104.040816327,4,98,10196,3389,13724,2
456,84.3846153846,4,39,3291,13821,3389,2
457,103.87755102,4,98,10180,3389,13821,2
458,85.5526315789,4,38,3251,13884,3389,2
459,103.156862745,4,102,10522,3389,13884,2
460,85.92105263159999,4,38,3265,13966,3389,2
461,123.78,4,100,12378,3389,13966,2
462,83.45,4,40,3338,14006,3389,2
463,103.51923076899999,4,104,10766,3389,14006,2
464,85.1842105263,4,38,3237,14097,3389,2
465,103.70588235299999,4,102,10578,3389,14097,2
466,83.275,4,40,3331,14151,3389,2
467,103.698113208,4,106,10992,3389,14151,2
468,85.5526315789,4,38,3251,14275,3389,2
469,104.895833333,4,96,10070,3389,14275,2
470,88.27777777780001,4,36,3178,14345,3389,2
471,104.62,4,100,10462,3389,14345,2
472,83.6666666667,4,39,3263,14408,3389,2
473,104.9375,4,96,10074,3389,14408,2
474,88.0833333333,4,36,3171,14453,3389,2
475,105.791666667,4,96,10156,3389,14453,2
476,83.975,4,40,3359,14491,3389,2
477,111.365384615,4,104,11582,3389,14491,2
478,85.1842105263,4,38,3237,14534,3389,2
479,111.0,4,98,10878,3389,14534,2
480,82.6585365854,4,41,3389,14583,3389,2
481,108.69230769200001,4,104,11304,3389,14583,2
482,84.7435897436,4,39,3305,14650,3389,2
483,104.66,4,100,10466,3389,14650,2
484,84.02564102560001,4,39,3277,14747,3389,2
485,103.91836734700001,4,98,10184,3389,14747,2
486,84.30769230770001,4,39,3288,14837,3389,2
487,104.040816327,4,98,10196,3389,14837,2
488,84.5641025641,4,39,3298,14906,3389,2
489,104.895833333,4,96,10070,3389,14906,2
490,85.5526315789,4,38,3251,14952,3389,2
491,105.0,4,96,10080,3389,14952,2
492,83.6829268293,4,41,3431,14979,3389,2
493,102.66,4,100,10266,3389,14979,2
494,82.575,4,40,3303,15017,3389,2
495,104.62,4,100,10462,3389,15017,2
496,85.3684210526,4,38,3244,15053,3389,2
497,104.979166667,4,96,10078,3389,15053,2
498,151.25,7,4,605,15080,3389,2
499,248.0,4,16,3968,3389,15080,2
500,131.0,3,1,131,2321,32234,1
501,326.0,3,2,652,32234,2321,1
502,126.0,3,4,504,29676,13859,1
503,131.0,3,1,131,11851,32234,1
504,326.0,3,2,652,32234,11851,1
505,126.0,3,4,504,32234,20989,1
506,48.0,4,4,192,3848,6667,2
507,131.0,3,1,131,62477,29676,1
508,326.0,3,2,652,29676,62477,1
509,126.0,3,4,504,29676,11298,1
510,48.0,4,6,288,1274,6667,2
511,40.0,4,3,120,6667,1274,2
512,131.0,3,1,131,42711,32234,1
513,326.0,3,2,652,32234,42711,1
514,131.0,3,1,131,16804,32234,1
515,326.0,3,2,652,32234,16804,1
516,131.0,3,1,131,24055,31037,1
517,326.0,3,2,652,31037,24055,1
518,48.0,4,2,96,4541,6667,2
519,48.0,4,2,96,1079,6667,2
520,131.0,3,1,131,60146,32234,1
521,326.0,3,2,652,32234,60146,1
522,130.5,3,2,261,39104,32234,1
523,131.0,3,1,131,51128,29676,1
524,326.0,3,2,652,29676,51128,1
525,131.0,3,2,262,16781,31037,1
526,326.0,3,4,1304,31037,16781,1
527,131.0,3,2,262,18087,32234,1
528,326.0,3,4,1304,32234,18087,1
529,131.0,3,1,131,33021,31037,1
530,326.0,3,2,652,31037,33021,1
531,131.0,3,1,131,10000,32234,1
532,326.0,3,2,652,32234,10000,1
533,131.0,3,2,262,26871,32234,1
534,326.0,3,4,1304,32234,26871,1
535,131.0,3,1,131,27865,32234,1
536,326.0,3,2,652,32234,27865,1
537,131.0,3,1,131,25899,31037,1
538,326.0,3,2,652,31037,25899,1
539,131.0,3,1,131,58654,31037,1
540,326.0,3,2,652,31037,58654,1
541,131.0,3,1,131,52384,31037,1
542,326.0,3,2,652,31037,52384,1
543,126.0,3,8,1008,29676,16254,1
544,60.0,5,2,120,2079,53,2
545,180.0,5,1,180,53,2079,2
546,58.0,5,2,116,2077,53,2
547,269.0,5,1,269,53,2077,2
548,131.0,3,1,131,45013,29676,1
549,326.0,3,2,652,29676,45013,1
550,131.0,3,1,131,13026,29676,1
551,326.0,3,2,652,29676,13026,1
552,129.0,3,1,129,54025,32234,1
553,131.0,3,1,131,49261,32234,1
554,326.0,3,2,652,32234,49261,1
555,131.0,3,1,131,52262,32234,1
556,326.0,3,2,652,32234,52262,1
557,131.0,3,1,131,27540,32234,1
558,326.0,3,2,652,32234,27540,1
559,80.920221169,3,1266,102445,7600,7600,1
560,1083.21587819,3,7356,7968136,7600,7600,1
561,131.0,3,1,131,15382,32234,1
562,326.0,3,2,652,32234,15382,1
563,131.0,3,1,131,1024,32234,1
564,326.0,3,2,652,32234,1024,1
565,82.9920634921,3,126,10457,7600,7600,1
566,1072.90307329,3,846,907676,7600,7600,1
567,90.0,3,2,180,29186,4041,1
568,75.0,3,2,150,7600,3887,1
569,76.0,3,1,76,3887,7600,1
570,131.0,3,1,131,24185,31037,1
571,326.0,3,2,652,31037,24185,1
572,126.0,3,8,1008,29676,11739,1
573,110.5,3,2,221,13742,7600,1
574,111.0,3,4,444,7600,13742,1
575,110.5,3,2,221,7600,7600,1
576,111.0,3,4,444,7600,7600,1
577,110.5,3,2,221,7600,7600,1
578,111.0,3,4,444,7600,7600,1
579,126.0,3,4,504,32234,1024,1
580,75.0,3,1,75,7600,7600,1
581,76.0,3,2,152,7600,7600,1
582,90.0,3,4,360,31037,16001,1
583,129.0,3,1,129,11935,31037,1
584,75.0,3,8,600,7600,7600,1
585,82.04819277109999,3,83,6810,16224,7600,1
586,1072.60079051,3,506,542736,7600,16224,1
587,84.4788732394,3,71,5998,16224,7600,1
588,1071.83122363,3,474,508048,7600,16224,1
589,85.3181818182,3,44,3754,7600,7600,1
590,1011.9,3,40,40476,7600,7600,1
591,90.0,3,4,360,29676,1077,1
592,76.0,3,2,152,7600,10744,1
593,93.0,3,1,93,12657,32234,1
594,75.0,3,4,300,43480,7600,1
595,76.0,3,8,608,7600,43480,1
596,134.90909090899999,3,110,14840,45013,7600,1
597,1068.03243243,3,740,790344,7600,45013,1
598,75.0,3,4,300,40315,7600,1
599,76.0,3,8,608,7600,40315,1
600,85.98496240600001,3,133,11436,25903,7600,1
601,1078.72760512,3,1094,1180128,7600,25903,1
602,102.0,3,6,612,31037,9684,1
603,154.0,3,3,462,9684,31037,1
604,131.0,3,1,131,26042,31037,1
605,326.0,3,2,652,31037,26042,1
606,126.0,3,4,504,32234,31902,1
607,75.0,3,2,150,7600,16660,1
608,75.0,3,2,150,7600,16660,1
609,121.0,4,10,1210,1067,80,1
610,301.4,4,5,1507,80,1067,1
611,121.0,4,10,1210,1072,80,1
612,302.4,4,5,1512,80,1072,1
613,121.0,4,10,1210,1058,80,1
614,301.4,4,5,1507,80,1058,1
615,107.8,4,10,1078,1085,80,1
616,107.8,4,10,1078,1084,80,1
617,295.2,4,5,1476,80,1084,1
618,308.8,4,5,1544,80,1085,1
619,107.8,4,10,1078,1087,80,1
620,96.5,4,12,1158,1088,80,1
621,225.8,4,5,1129,80,1087,1
622,226.0,4,5,1130,80,1088,1
623,107.8,4,10,1078,1095,80,1
624,107.8,4,10,1078,1096,80,1
625,303.8,4,5,1519,80,1095,1
626,225.8,4,5,1129,80,1096,1
627,151.66666666700002,4,12,1820,1085,80,1
628,107.8,4,10,1078,1084,80,1
629,294.6,4,5,1473,80,1084,1
630,308.2,4,5,1541,80,1085,1
631,96.5,4,12,1158,1090,80,1
632,107.8,4,10,1078,1098,80,1
633,225.8,4,5,1129,80,1090,1
634,226.0,4,5,1130,80,1098,1
635,107.8,4,10,1078,1106,80,1
636,107.8,4,10,1078,1107,80,1
637,303.8,4,5,1519,80,1106,1
638,225.8,4,5,1129,80,1107,1
639,107.8,4,10,1078,1067,80,1
640,107.8,4,10,1078,1068,80,1
641,294.6,4,5,1473,80,1068,1
642,308.4,4,5,1542,80,1067,1
643,107.8,4,10,1078,1078,80,1
644,97.8333333333,4,12,1174,1079,80,1
645,225.8,4,5,1129,80,1078,1
646,107.8,4,10,1078,1084,80,1
647,304.4,4,5,1522,80,1084,1
648,226.0,4,5,1130,80,1079,1
649,115.4,4,10,1154,1091,80,1
650,231.8,4,5,1159,80,1091,1
651,83.935483871,3,31,2602,31566,7600,1
652,1054.57142857,3,196,206696,7600,31566,1
653,110.5,3,2,221,7600,7600,1
654,111.0,3,4,444,7600,7600,1
655,110.5,3,2,221,7600,7600,1
656,111.0,3,4,444,7600,7600,1
657,122.333333333,3,3,367,1690,7600,1
658,111.0,3,4,444,7600,1690,1
659,131.0,3,1,131,18760,32234,1
660,326.0,3,2,652,32234,18760,1
661,101.0,3,14,1414,7600,36741,1
662,843.666666667,3,12,10124,36741,7600,1
663,131.0,3,1,131,12200,29676,1
664,326.0,3,2,652,29676,12200,1
665,75.0,3,8,600,7600,2884,1
666,131.0,3,1,131,58090,29676,1
